scenario,probability,Q_x_EV,Q_x_star,Delta,p_Delta,classification
SCEN30,0.005,3166.082412,2653.51077,512.5716420000003,2.5628582100000017,bad
SCEN31,0.005,1639.425811,1476.052508,163.37330300000008,0.8168665150000004,bad
SCEN32,0.005,3284.45181,2656.549352,627.902458,3.1395122900000003,bad
SCEN33,0.005,2543.173832,1752.688255,790.4855769999999,3.9524278849999996,bad
SCEN34,0.005,1985.585568,845.50656,1140.079008,5.70039504,bad
SCEN35,0.005,848.545142,844.592402,3.9527400000000625,0.019763700000000314,bad
SCEN36,0.005,1873.816543,1869.7008779999999,4.115665000000035,0.02057832500000018,bad
SCEN37,0.005,2392.609294,1596.965182,795.644112,3.97822056,bad
SCEN38,0.005,2653.51077,2653.203341,0.30742899999995643,0.0015371449999997823,bad
SCEN39,0.005,1356.457052,845.1991310000001,511.2579209999999,2.5562896049999995,bad
SCEN40,0.005,2663.620129,1872.73946,790.8806689999999,3.954403345,bad
SCEN41,0.005,1754.105687,1749.2545810000001,4.851105999999845,0.024255529999999227,bad
SCEN42,0.005,2379.800529,1749.2545810000001,630.545948,3.15272974,bad
SCEN43,0.005,2544.124887,2379.334152,164.79073500000004,0.8239536750000003,bad
SCEN44,0.005,1477.46994,847.630984,629.8389559999999,3.1491947799999997,bad
SCEN45,0.005,2882.613434,849.962574,2032.6508599999997,10.163254299999998,bad
SCEN46,0.005,1358.0782020000001,845.50656,512.5716420000001,2.562858210000001,bad
SCEN47,0.005,1748.788204,1747.874046,0.9141580000000431,0.004570790000000216,bad
SCEN48,0.005,1869.7008779999999,1868.4792909999999,1.2215869999999995,0.0061079349999999975,bad
SCEN49,0.005,2261.826223,1752.293163,509.53306,2.5476653,bad
SCEN50,0.005,3173.560832,2379.334152,794.2266800000002,3.971133400000001,bad
SCEN51,0.005,2658.361876,2652.596612,5.765264000000116,0.02882632000000058,bad
SCEN52,0.005,1359.890726,845.594223,514.296503,2.571482515,bad
SCEN53,0.005,3054.124324,1752.293163,1301.8311609999998,6.509155804999999,bad
SCEN54,0.005,4017.711281,2656.944444,1360.7668369999997,6.803834184999999,bad
SCEN55,0.005,2379.233938,1869.7008779999999,509.53306,2.5476653,bad
SCEN56,0.005,3011.59241,1872.73946,1138.8529500000002,5.694264750000001,bad
SCEN57,0.005,3786.3614549999998,1752.293163,2034.0682919999997,10.17034146,bad
SCEN58,0.005,2269.59937,969.580733,1300.018637,6.500093185,bad
SCEN59,0.005,2891.05845,1749.2545810000001,1141.8038689999998,5.709019345,bad
SCEN60,0.005,2150.376303,848.545142,1301.831161,6.509155805000001,bad
SCEN61,0.005,2661.060109,2653.51077,7.5493390000001455,0.037746695000000725,bad
SCEN62,0.005,2542.7074549999998,1751.826786,790.8806689999997,3.9544033449999985,bad
SCEN63,0.005,967.564491,965.8396299999999,1.7248610000000326,0.008624305000000164,bad
SCEN64,0.005,3295.890938,2500.246826,795.644112,3.97822056,bad
SCEN65,0.005,2374.864449,1476.052508,898.8119410000002,4.494059705000001,bad
SCEN66,0.005,2890.751021,1752.688255,1138.062766,5.69031383,bad
SCEN67,0.005,2890.284644,1748.788204,1141.49644,5.707482199999999,bad
SCEN68,0.005,3513.466811,1476.052508,2037.4143029999998,10.187071515,bad
SCEN69,0.005,3236.080556,2500.246826,735.8337299999998,3.6791686499999994,bad
SCEN70,0.005,2332.131645,966.147059,1365.984586,6.82992293,bad
SCEN71,0.005,2719.240131,845.50656,1873.733571,9.368667855,bad
SCEN72,0.005,3288.172383,2653.51077,634.6616130000002,3.173308065000001,bad
SCEN73,0.005,2088.694183,845.50656,1243.187623,6.215938115,bad
SCEN74,0.005,970.603073,966.147059,4.456013999999982,0.02228006999999991,bad
SCEN75,0.005,2500.246826,1869.393449,630.8533770000001,3.1542668850000006,bad
SCEN76,0.005,2262.777278,1748.788204,513.9890740000001,2.5699453700000006,bad
SCEN77,0.005,2384.311286,1749.342244,634.9690420000002,3.174845210000001,bad
SCEN78,0.005,2667.7357939999997,2500.246826,167.48896799999966,0.8374448399999983,bad
SCEN79,0.005,2380.65137,1869.393449,511.2579210000001,2.556289605000001,bad
SCEN80,0.005,1987.3980920000001,1476.052508,511.34558400000014,2.5567279200000006,bad
SCEN81,0.005,1477.097551,966.147059,510.95049200000005,2.5547524600000004,bad
SCEN82,0.005,2501.664258,1869.7008779999999,631.9633799999999,3.1598168999999996,bad
SCEN83,0.005,1640.843243,1476.052508,164.79073500000004,0.8239536750000003,bad
SCEN84,0.005,2992.442204,1749.2545810000001,1243.1876229999998,6.215938114999999,bad
SCEN85,0.005,1750.205636,1747.566617,2.639018999999962,0.01319509499999981,bad
SCEN86,0.005,4537.661129,2500.246826,2037.414303,10.187071515,bad
SCEN87,0.005,2657.626435,2653.51077,4.115665000000263,0.020578325000001313,bad
SCEN88,0.005,2391.191862,1596.965182,794.2266800000002,3.971133400000001,bad
SCEN89,0.005,2900.452747,1596.693007,1303.7597399999997,6.518798699999999,bad
SCEN90,0.005,3011.197318,1873.134552,1138.062766,5.69031383,bad
SCEN91,0.005,2889.333589,1749.2545810000001,1140.0790079999997,5.700395039999998,bad
SCEN92,0.005,2381.2179610000003,1752.688255,628.5297060000003,3.1426485300000015,bad
SCEN93,0.005,1597.088099,1595.778849,1.30925000000002,0.006546250000000101,bad
SCEN94,0.005,2890.679736,1748.788204,1141.891532,5.709457660000001,bad
SCEN95,0.005,3175.444641,2378.886371,796.55827,3.98279135,bad
SCEN96,0.005,2667.7357939999997,1873.134552,794.6012419999997,3.9730062099999985,bad
SCEN97,0.005,2779.812248,1476.052508,1303.7597400000002,6.518798700000001,bad
SCEN98,0.005,3011.59241,1872.73946,1138.8529500000002,5.694264750000001,bad
SCEN99,0.005,3387.165333,2653.51077,733.654563,3.6682728150000004,bad
SCEN100,0.005,3683.560269,2379.800529,1303.75974,6.5187987,bad
SCEN101,0.005,2780.00645,1476.052508,1303.9539419999999,6.519769709999999,bad
SCEN102,0.005,2209.707071,1476.052508,733.6545629999998,3.668272814999999,bad
SCEN103,0.005,3173.560832,2378.419994,795.1408380000003,3.9757041900000014,bad
SCEN104,0.005,969.1856409999999,966.147059,3.0385819999999057,0.015192909999999529,bad
SCEN105,0.005,1761.483742,969.1856409999999,792.298101,3.961490505,bad
SCEN106,0.005,3909.465847,2379.800529,1529.6653179999998,7.648326589999999,bad
SCEN107,0.005,4029.912144,2500.246826,1529.6653179999998,7.648326589999999,bad
SCEN108,0.005,1752.688255,1749.2545810000001,3.4336739999998827,0.017168369999999412,bad
SCEN109,0.005,1987.3980920000001,848.545142,1138.85295,5.69426475,bad
SCEN110,0.005,2501.664258,1869.7008779999999,631.9633799999999,3.1598168999999996,bad
SCEN111,0.005,2779.812248,1476.052508,1303.7597400000002,6.518798700000001,bad
SCEN112,0.005,1760.06631,1596.693007,163.37330299999985,0.8168665149999993,bad
SCEN113,0.005,1596.965182,1596.051024,0.9141579999998157,0.004570789999999079,bad
SCEN114,0.005,969.1856409999999,965.232901,3.952739999999949,0.019763699999999745,bad
SCEN115,0.005,2379.334152,2378.419994,0.9141580000000431,0.004570790000000216,bad
SCEN116,0.005,2211.491146,845.50656,1365.9845859999998,6.8299229299999995,bad
SCEN117,0.005,1985.585568,1476.052508,509.53306,2.5476653,bad
SCEN118,0.005,2258.787641,1748.947152,509.84048899999993,2.5492024449999997,bad
SCEN119,0.005,849.962574,847.630984,2.3315900000000056,0.011657950000000028,bad
SCEN120,0.005,846.923992,845.50656,1.4174319999999625,0.007087159999999813,bad
SCEN121,0.005,2108.223103,966.419234,1141.8038689999998,5.709019345,bad
SCEN122,0.005,970.2627239999999,966.147059,4.115664999999922,0.02057832499999961,bad
SCEN123,0.005,1477.3697260000001,966.111805,511.2579210000001,2.556289605000001,bad
SCEN124,0.005,2889.262304,2380.751584,508.51071999999976,2.542553599999999,bad
SCEN125,0.005,848.940234,844.680065,4.260169000000019,0.021300845000000096,bad
SCEN126,0.005,2902.142354,1596.965182,1305.1771720000002,6.525885860000001,bad
SCEN127,0.005,3795.314639,2653.51077,1141.8038690000003,5.7090193450000015,bad
SCEN128,0.005,2106.893334,1596.965182,509.92815199999995,2.54964076,bad
SCEN129,0.005,2500.246826,1869.7008779999999,630.5459480000002,3.152729740000001,bad
SCEN130,0.005,1475.952294,966.111805,509.84048899999993,2.5492024449999997,bad
SCEN131,0.005,2106.498242,966.419234,1140.0790080000002,5.700395040000001,bad
SCEN132,0.005,2991.9758269999998,1748.788204,1243.1876229999998,6.215938114999999,bad
SCEN133,0.005,3011.197318,1873.134552,1138.062766,5.69031383,bad
SCEN134,0.005,1873.134552,1869.7008779999999,3.43367400000011,0.01716837000000055,bad
SCEN135,0.005,1987.3980920000001,848.545142,1138.85295,5.69426475,bad
SCEN136,0.005,3011.197318,1869.7008779999999,1141.4964400000001,5.7074822,bad
SCEN137,0.005,1760.06631,969.1856409999999,790.880669,3.9544033450000002,bad
SCEN138,0.005,1475.6801189999999,967.564491,508.1156279999999,2.5405781399999996,bad
SCEN139,0.005,2995.014409,1748.788204,1246.226205,6.231131025,bad
SCEN140,0.005,3164.461262,2653.203341,511.2579209999999,2.5562896049999995,bad
SCEN141,0.005,1598.110439,969.580733,628.529706,3.14264853,bad
SCEN142,0.005,2391.191862,1596.965182,794.2266800000002,3.971133400000001,bad
SCEN143,0.005,845.50656,845.1991310000001,0.30742899999995643,0.0015371449999997823,bad
SCEN144,0.005,3011.504747,1869.7008779999999,1141.803869,5.709019345000001,bad
SCEN145,0.005,3793.897207,2653.51077,1140.3864370000001,5.701932185,bad
SCEN146,0.005,3958.380513,2656.549352,1301.831161,6.509155805000001,bad
SCEN147,0.005,2995.014409,1748.788204,1246.226205,6.231131025,bad
SCEN148,0.005,2106.533496,966.147059,1140.3864370000001,5.701932185,bad
SCEN149,0.005,2259.738696,1748.788204,510.95049199999994,2.5547524599999996,bad
SCEN150,0.005,2608.178098,1869.7008779999999,738.47722,3.6923861000000002,bad
SCEN151,0.005,3234.208818,1869.7008779999999,1364.5079400000002,6.822539700000001,bad
SCEN152,0.005,1476.4476,1476.052508,0.3950919999999769,0.0019754599999998847,bad
SCEN153,0.005,1985.585568,848.940234,1136.6453339999998,5.683226669999999,bad
SCEN154,0.005,3285.781579,2653.51077,632.2708090000001,3.1613540450000004,bad
SCEN155,0.005,3795.00721,2653.51077,1141.4964400000003,5.707482200000002,bad
SCEN156,0.005,1598.194966,968.271483,629.923483,3.1496174150000003,bad
SCEN157,0.005,2269.871545,970.875248,1298.996297,6.494981484999999,bad
SCEN158,0.005,2150.376303,1476.052508,674.323795,3.371618975,bad
SCEN159,0.005,1596.965182,969.852908,627.112274,3.13556137,bad
SCEN160,0.005,1476.359937,845.50656,630.8533769999999,3.1542668849999997,bad
SCEN161,0.005,1359.495634,845.50656,513.9890740000001,2.5699453700000006,bad
SCEN162,0.005,1756.80392,1749.2545810000001,7.549338999999918,0.037746694999999594,bad
SCEN163,0.005,2882.613434,1476.052508,1406.5609259999999,7.032804629999999,bad
SCEN164,0.005,2148.958871,1476.052508,672.9063629999998,3.3645318149999994,bad
SCEN165,0.005,1477.3697260000001,966.419234,510.95049200000017,2.554752460000001,bad
SCEN166,0.005,2889.333589,1749.2545810000001,1140.0790079999997,5.700395039999998,bad
SCEN167,0.005,2882.613434,1476.052508,1406.5609259999999,7.032804629999999,bad
SCEN168,0.005,3005.717826,1476.4476,1529.270226,7.64635113,bad
SCEN169,0.005,2719.240131,848.940234,1870.2998969999999,9.351499485,bad
SCEN170,0.005,2383.916194,1752.293163,631.6230309999999,3.1581151549999995,bad
SCEN171,0.005,970.875248,969.457816,1.4174320000000762,0.007087160000000381,bad
SCEN172,0.005,2546.82312,1751.826786,794.9963339999999,3.9749816699999996,bad
SCEN173,0.005,2384.311286,1752.293163,632.0181230000001,3.1600906150000005,bad
SCEN174,0.005,2900.724922,1596.965182,1303.75974,6.5187987,bad
SCEN175,0.005,1985.9806600000002,848.545142,1137.4355180000002,5.687177590000001,bad
SCEN176,0.005,1476.4476,1476.052508,0.3950919999999769,0.0019754599999998847,bad
SCEN177,0.005,3388.949408,2653.203341,735.746067,3.6787303350000005,bad
SCEN178,0.005,1985.585568,848.940234,1136.6453339999998,5.683226669999999,bad
SCEN179,0.005,1753.63931,1748.875867,4.763443000000052,0.02381721500000026,bad
SCEN180,0.005,1583.98378,849.962574,734.021206,3.67010603,bad
SCEN181,0.005,845.50656,844.284973,1.2215869999999995,0.0061079349999999975,bad
SCEN182,0.005,1480.168173,1476.052508,4.115665000000035,0.02057832500000018,bad
SCEN183,0.005,2719.240131,845.50656,1873.733571,9.368667855,bad
SCEN184,0.005,3795.402302,2656.549352,1138.85295,5.69426475,bad
SCEN185,0.005,3011.197318,1869.7008779999999,1141.4964400000001,5.7074822,bad
SCEN186,0.005,3235.685464,1869.7008779999999,1365.9845860000003,6.829922930000001,bad
SCEN187,0.005,1987.0030000000002,845.50656,1141.4964400000001,5.7074822,bad
SCEN188,0.005,3173.153189,1872.73946,1300.413729,6.5020686450000005,bad
SCEN189,0.005,2258.321264,1748.788204,509.5330600000002,2.547665300000001,bad
SCEN190,0.005,3174.027209,2379.800529,794.2266799999998,3.971133399999999,bad
SCEN191,0.005,2379.800529,2379.800529,0.0,0.0,good
SCEN192,0.005,2384.311286,2379.800529,4.510757000000012,0.022553785000000062,bad
SCEN193,0.005,3622.521775,1752.221878,1870.299897,9.351499485000001,bad
SCEN194,0.005,2108.038591,966.147059,1141.891532,5.709457660000001,bad
SCEN195,0.005,2902.142354,1596.965182,1305.1771720000002,6.525885860000001,bad
SCEN196,0.005,3622.988152,1749.2545810000001,1873.7335709999998,9.368667854999998,bad
SCEN197,0.005,1985.585568,1476.052508,509.53306,2.5476653,bad
SCEN198,0.005,1476.4476,844.592402,631.855198,3.15927599,bad
SCEN199,0.005,1476.4476,847.630984,628.816616,3.1440830799999997,bad
SCEN200,0.005,2271.69662,1476.052508,795.6441120000002,3.978220560000001,bad
