scenario,Q_x_EV,Q_x_star,Delta,classification
SCEN69,3236.080556,2500.246826,735.8337299999998,bad
SCEN70,2332.131645,966.147059,1365.984586,bad
SCEN71,2719.240131,845.50656,1873.733571,bad
SCEN72,3288.172383,2653.51077,634.6616130000002,bad
SCEN73,2088.694183,845.50656,1243.187623,bad
SCEN74,970.603073,966.147059,4.456013999999982,bad
SCEN75,2500.246826,1869.393449,630.8533770000001,bad
SCEN76,2262.777278,1748.788204,513.9890740000001,bad
SCEN77,2384.311286,1749.342244,634.9690420000002,bad
SCEN78,2667.7357939999997,2500.246826,167.48896799999966,bad
SCEN79,2380.65137,1869.393449,511.2579210000001,bad
SCEN80,1987.3980920000001,1476.052508,511.34558400000014,bad
SCEN81,1477.097551,966.147059,510.95049200000005,bad
SCEN82,2501.664258,1869.7008779999999,631.9633799999999,bad
SCEN83,1640.843243,1476.052508,164.79073500000004,bad
SCEN84,2992.442204,1749.2545810000001,1243.1876229999998,bad
SCEN85,1750.205636,1747.566617,2.639018999999962,bad
SCEN86,4537.661129,2500.246826,2037.414303,bad
SCEN87,2657.626435,2653.51077,4.115665000000263,bad
SCEN88,2391.191862,1596.965182,794.2266800000002,bad
SCEN89,2900.452747,1596.693007,1303.7597399999997,bad
SCEN90,3011.197318,1873.134552,1138.062766,bad
SCEN91,2889.333589,1749.2545810000001,1140.0790079999997,bad
SCEN92,2381.2179610000003,1752.688255,628.5297060000003,bad
SCEN93,1597.088099,1595.778849,1.30925000000002,bad
SCEN94,2890.679736,1748.788204,1141.891532,bad
SCEN95,3175.444641,2378.886371,796.55827,bad
SCEN96,2667.7357939999997,1873.134552,794.6012419999997,bad
SCEN97,2779.812248,1476.052508,1303.7597400000002,bad
SCEN98,3011.59241,1872.73946,1138.8529500000002,bad
SCEN99,3387.165333,2653.51077,733.654563,bad
SCEN100,3683.560269,2379.800529,1303.75974,bad
SCEN101,2780.00645,1476.052508,1303.9539419999999,bad
SCEN102,2209.707071,1476.052508,733.6545629999998,bad
SCEN103,3173.560832,2378.419994,795.1408380000003,bad
SCEN104,969.1856409999999,966.147059,3.0385819999999057,bad
SCEN105,1761.483742,969.1856409999999,792.298101,bad
SCEN106,3909.465847,2379.800529,1529.6653179999998,bad
SCEN107,4029.912144,2500.246826,1529.6653179999998,bad
SCEN108,1752.688255,1749.2545810000001,3.4336739999998827,bad
SCEN109,1987.3980920000001,848.545142,1138.85295,bad
SCEN110,2501.664258,1869.7008779999999,631.9633799999999,bad
SCEN111,2779.812248,1476.052508,1303.7597400000002,bad
SCEN112,1760.06631,1596.693007,163.37330299999985,bad
SCEN113,1596.965182,1596.051024,0.9141579999998157,bad
SCEN114,969.1856409999999,965.232901,3.952739999999949,bad
SCEN115,2379.334152,2378.419994,0.9141580000000431,bad
SCEN116,2211.491146,845.50656,1365.9845859999998,bad
SCEN117,1985.585568,1476.052508,509.53306,bad
SCEN118,2258.787641,1748.947152,509.84048899999993,bad
SCEN119,849.962574,847.630984,2.3315900000000056,bad
SCEN120,846.923992,845.50656,1.4174319999999625,bad
SCEN121,2108.223103,966.419234,1141.8038689999998,bad
SCEN122,970.2627239999999,966.147059,4.115664999999922,bad
SCEN123,1477.3697260000001,966.111805,511.2579210000001,bad
SCEN124,2889.262304,2380.751584,508.51071999999976,bad
SCEN125,848.940234,844.680065,4.260169000000019,bad
SCEN126,2902.142354,1596.965182,1305.1771720000002,bad
SCEN127,3795.314639,2653.51077,1141.8038690000003,bad
SCEN128,2106.893334,1596.965182,509.92815199999995,bad
SCEN129,2500.246826,1869.7008779999999,630.5459480000002,bad
SCEN130,1475.952294,966.111805,509.84048899999993,bad
SCEN131,2106.498242,966.419234,1140.0790080000002,bad
SCEN132,2991.9758269999998,1748.788204,1243.1876229999998,bad
SCEN133,3011.197318,1873.134552,1138.062766,bad
SCEN134,1873.134552,1869.7008779999999,3.43367400000011,bad
SCEN135,1987.3980920000001,848.545142,1138.85295,bad
SCEN136,3011.197318,1869.7008779999999,1141.4964400000001,bad
SCEN137,1760.06631,969.1856409999999,790.880669,bad
SCEN138,1475.6801189999999,967.564491,508.1156279999999,bad
SCEN139,2995.014409,1748.788204,1246.226205,bad
SCEN140,3164.461262,2653.203341,511.2579209999999,bad
SCEN141,1598.110439,969.580733,628.529706,bad
SCEN142,2391.191862,1596.965182,794.2266800000002,bad
SCEN143,845.50656,845.1991310000001,0.30742899999995643,bad
SCEN144,3011.504747,1869.7008779999999,1141.803869,bad
SCEN145,3793.897207,2653.51077,1140.3864370000001,bad
SCEN146,3958.380513,2656.549352,1301.831161,bad
SCEN147,2995.014409,1748.788204,1246.226205,bad
SCEN148,2106.533496,966.147059,1140.3864370000001,bad
SCEN149,2259.738696,1748.788204,510.95049199999994,bad
SCEN150,2608.178098,1869.7008779999999,738.47722,bad
SCEN151,3234.208818,1869.7008779999999,1364.5079400000002,bad
SCEN152,1476.4476,1476.052508,0.3950919999999769,bad
SCEN153,1985.585568,848.940234,1136.6453339999998,bad
SCEN154,3285.781579,2653.51077,632.2708090000001,bad
SCEN155,3795.00721,2653.51077,1141.4964400000003,bad
SCEN156,1598.194966,968.271483,629.923483,bad
SCEN157,2269.871545,970.875248,1298.996297,bad
SCEN158,2150.376303,1476.052508,674.323795,bad
SCEN159,1596.965182,969.852908,627.112274,bad
SCEN160,1476.359937,845.50656,630.8533769999999,bad
SCEN161,1359.495634,845.50656,513.9890740000001,bad
SCEN162,1756.80392,1749.2545810000001,7.549338999999918,bad
SCEN163,2882.613434,1476.052508,1406.5609259999999,bad
SCEN164,2148.958871,1476.052508,672.9063629999998,bad
SCEN165,1477.3697260000001,966.419234,510.95049200000017,bad
SCEN166,2889.333589,1749.2545810000001,1140.0790079999997,bad
SCEN167,2882.613434,1476.052508,1406.5609259999999,bad
SCEN168,3005.717826,1476.4476,1529.270226,bad
SCEN169,2719.240131,848.940234,1870.2998969999999,bad
SCEN170,2383.916194,1752.293163,631.6230309999999,bad
SCEN171,970.875248,969.457816,1.4174320000000762,bad
SCEN172,2546.82312,1751.826786,794.9963339999999,bad
SCEN173,2384.311286,1752.293163,632.0181230000001,bad
SCEN174,2900.724922,1596.965182,1303.75974,bad
SCEN175,1985.9806600000002,848.545142,1137.4355180000002,bad
SCEN176,1476.4476,1476.052508,0.3950919999999769,bad
SCEN177,3388.949408,2653.203341,735.746067,bad
SCEN178,1985.585568,848.940234,1136.6453339999998,bad
SCEN179,1753.63931,1748.875867,4.763443000000052,bad
SCEN180,1583.98378,849.962574,734.021206,bad
SCEN181,845.50656,844.284973,1.2215869999999995,bad
SCEN182,1480.168173,1476.052508,4.115665000000035,bad
SCEN183,2719.240131,845.50656,1873.733571,bad
SCEN184,3795.402302,2656.549352,1138.85295,bad
SCEN185,3011.197318,1869.7008779999999,1141.4964400000001,bad
SCEN186,3235.685464,1869.7008779999999,1365.9845860000003,bad
SCEN187,1987.0030000000002,845.50656,1141.4964400000001,bad
SCEN188,3173.153189,1872.73946,1300.413729,bad
SCEN189,2258.321264,1748.788204,509.5330600000002,bad
SCEN190,3174.027209,2379.800529,794.2266799999998,bad
SCEN191,2379.800529,2379.800529,0.0,good
SCEN192,2384.311286,2379.800529,4.510757000000012,bad
SCEN193,3622.521775,1752.221878,1870.299897,bad
SCEN194,2108.038591,966.147059,1141.891532,bad
SCEN195,2902.142354,1596.965182,1305.1771720000002,bad
SCEN196,3622.988152,1749.2545810000001,1873.7335709999998,bad
SCEN197,1985.585568,1476.052508,509.53306,bad
SCEN198,1476.4476,844.592402,631.855198,bad
SCEN199,1476.4476,847.630984,628.816616,bad
SCEN200,2271.69662,1476.052508,795.6441120000002,bad
