scenario,column_or_rhs,row_or_bounds,value
SCEN6,y_1_1_2,dem_1_2,1.189192
SCEN6,y_1_2_2,dem_1_2,1.214844
SCEN6,y_1_3_2,dem_1_2,0.890106
SCEN6,y_2_1_2,dem_2_2,1.189192
SCEN6,y_2_2_2,dem_2_2,1.214844
SCEN6,y_2_3_2,dem_2_2,0.890106
SCEN6,y_1_1_3,dem_1_3,1.175987
SCEN6,y_1_2_3,dem_1_3,1.189045
SCEN6,y_1_3_3,dem_1_3,0.998383
SCEN6,y_2_1_3,dem_2_3,1.175987
SCEN6,y_2_2_3,dem_2_3,1.189045
SCEN6,y_2_3_3,dem_2_3,0.998383
SCEN7,y_1_1_1,dem_1_1,1.412951
SCEN7,y_1_2_1,dem_1_1,1.2044
SCEN7,y_1_3_1,dem_1_1,1.114963
SCEN7,y_2_1_1,dem_2_1,1.412951
SCEN7,y_2_2_1,dem_2_1,1.2044
SCEN7,y_2_3_1,dem_2_1,1.114963
SCEN7,y_1_1_2,dem_1_2,1.489355
SCEN7,y_1_2_2,dem_1_2,0.746004
SCEN7,y_1_3_2,dem_1_2,1.317255
SCEN7,y_2_1_2,dem_2_2,1.489355
SCEN7,y_2_2_2,dem_2_2,0.746004
SCEN7,y_2_3_2,dem_2_2,1.317255
SCEN7,y_1_1_3,dem_1_3,1.086997
SCEN7,y_1_2_3,dem_1_3,1.376662
SCEN7,y_1_3_3,dem_1_3,0.929419
SCEN7,y_2_1_3,dem_2_3,1.086997
SCEN7,y_2_2_3,dem_2_3,1.376662
SCEN7,y_2_3_3,dem_2_3,0.929419
SCEN8,y_1_1_1,dem_1_1,0.535063
SCEN8,y_1_2_1,dem_1_1,0.610608
SCEN8,y_1_3_1,dem_1_1,1.383626
SCEN8,y_2_1_1,dem_2_1,0.535063
SCEN8,y_2_2_1,dem_2_1,0.610608
SCEN8,y_2_3_1,dem_2_1,1.383626
SCEN8,y_1_1_2,dem_1_2,0.667128
SCEN8,y_1_2_2,dem_1_2,1.379155
SCEN8,y_1_3_2,dem_1_2,1.203654
SCEN8,y_2_1_2,dem_2_2,0.667128
SCEN8,y_2_2_2,dem_2_2,1.379155
SCEN8,y_2_3_2,dem_2_2,1.203654
SCEN8,y_1_1_3,dem_1_3,1.428223
SCEN8,y_1_2_3,dem_1_3,0.849245
SCEN8,y_1_3_3,dem_1_3,0.989827
SCEN8,y_2_1_3,dem_2_3,1.428223
SCEN8,y_2_2_3,dem_2_3,0.849245
SCEN8,y_2_3_3,dem_2_3,0.989827
SCEN9,y_1_1_1,dem_1_1,1.02434
SCEN9,y_1_2_1,dem_1_1,0.674408
SCEN9,y_1_3_1,dem_1_1,0.996483
SCEN9,y_2_1_1,dem_2_1,1.02434
SCEN9,y_2_2_1,dem_2_1,0.674408
SCEN9,y_2_3_1,dem_2_1,0.996483
SCEN9,y_1_1_2,dem_1_2,0.925979
SCEN9,y_1_2_2,dem_1_2,1.17294
SCEN9,y_1_3_2,dem_1_2,0.573532
SCEN9,y_2_1_2,dem_2_2,0.925979
SCEN9,y_2_2_2,dem_2_2,1.17294
SCEN9,y_2_3_2,dem_2_2,0.573532
SCEN9,y_1_1_3,dem_1_3,0.766161
SCEN9,y_1_2_3,dem_1_3,0.921078
SCEN9,y_1_3_3,dem_1_3,0.918362
SCEN9,y_2_1_3,dem_2_3,0.766161
SCEN9,y_2_2_3,dem_2_3,0.921078
SCEN9,y_2_3_3,dem_2_3,0.918362
SCEN10,y_1_1_1,dem_1_1,0.897765
SCEN10,y_1_2_1,dem_1_1,1.326002
SCEN10,y_1_3_1,dem_1_1,1.253157
SCEN10,y_2_1_1,dem_2_1,0.897765
SCEN10,y_2_2_1,dem_2_1,1.326002
SCEN10,y_2_3_1,dem_2_1,1.253157
SCEN10,y_1_1_2,dem_1_2,0.909371
SCEN10,y_1_2_2,dem_1_2,0.985337
SCEN10,y_1_3_2,dem_1_2,0.951292
SCEN10,y_2_1_2,dem_2_2,0.909371
SCEN10,y_2_2_2,dem_2_2,0.985337
SCEN10,y_2_3_2,dem_2_2,0.951292
SCEN10,y_1_1_3,dem_1_3,1.355991
SCEN10,y_1_2_3,dem_1_3,1.352966
SCEN10,y_1_3_3,dem_1_3,1.242155
SCEN10,y_2_1_3,dem_2_3,1.355991
SCEN10,y_2_2_3,dem_2_3,1.352966
SCEN10,y_2_3_3,dem_2_3,1.242155
SCEN11,y_1_1_1,dem_1_1,1.014656
SCEN11,y_1_2_1,dem_1_1,1.455368
SCEN11,y_1_3_1,dem_1_1,1.145995
SCEN11,y_2_1_1,dem_2_1,1.014656
SCEN11,y_2_2_1,dem_2_1,1.455368
SCEN11,y_2_3_1,dem_2_1,1.145995
SCEN11,y_1_1_2,dem_1_2,1.249653
SCEN11,y_1_2_2,dem_1_2,1.207299
SCEN11,y_1_3_2,dem_1_2,0.802105
SCEN11,y_2_1_2,dem_2_2,1.249653
SCEN11,y_2_2_2,dem_2_2,1.207299
SCEN11,y_2_3_2,dem_2_2,0.802105
SCEN11,y_1_1_3,dem_1_3,1.032087
SCEN11,y_1_2_3,dem_1_3,1.026878
SCEN11,y_1_3_3,dem_1_3,1.06034
SCEN11,y_2_1_3,dem_2_3,1.032087
SCEN11,y_2_2_3,dem_2_3,1.026878
SCEN11,y_2_3_3,dem_2_3,1.06034
SCEN12,y_1_1_1,dem_1_1,1.43874
SCEN12,y_1_2_1,dem_1_1,1.076014
SCEN12,y_1_3_1,dem_1_1,1.317575
SCEN12,y_2_1_1,dem_2_1,1.43874
SCEN12,y_2_2_1,dem_2_1,1.076014
SCEN12,y_2_3_1,dem_2_1,1.317575
SCEN12,y_1_1_2,dem_1_2,0.983859
SCEN12,y_1_2_2,dem_1_2,0.553113
SCEN12,y_1_3_2,dem_1_2,1.423735
SCEN12,y_2_1_2,dem_2_2,0.983859
SCEN12,y_2_2_2,dem_2_2,0.553113
SCEN12,y_2_3_2,dem_2_2,1.423735
SCEN12,y_1_1_3,dem_1_3,0.872447
SCEN12,y_1_2_3,dem_1_3,1.44936
SCEN12,y_1_3_3,dem_1_3,0.68244
SCEN12,y_2_1_3,dem_2_3,0.872447
SCEN12,y_2_2_3,dem_2_3,1.44936
SCEN12,y_2_3_3,dem_2_3,0.68244
SCEN13,y_1_1_1,dem_1_1,1.44091
SCEN13,y_1_2_1,dem_1_1,1.264007
SCEN13,y_1_3_1,dem_1_1,0.648603
SCEN13,y_2_1_1,dem_2_1,1.44091
SCEN13,y_2_2_1,dem_2_1,1.264007
SCEN13,y_2_3_1,dem_2_1,0.648603
SCEN13,y_1_1_2,dem_1_2,0.870153
SCEN13,y_1_2_2,dem_1_2,1.315376
SCEN13,y_1_3_2,dem_1_2,1.135502
SCEN13,y_2_1_2,dem_2_2,0.870153
SCEN13,y_2_2_2,dem_2_2,1.315376
SCEN13,y_2_3_2,dem_2_2,1.135502
SCEN13,y_1_1_3,dem_1_3,0.904425
SCEN13,y_1_2_3,dem_1_3,1.070112
SCEN13,y_1_3_3,dem_1_3,1.075231
SCEN13,y_2_1_3,dem_2_3,0.904425
SCEN13,y_2_2_3,dem_2_3,1.070112
SCEN13,y_2_3_3,dem_2_3,1.075231
SCEN14,y_1_1_1,dem_1_1,1.185148
SCEN14,y_1_2_1,dem_1_1,0.866214
SCEN14,y_1_3_1,dem_1_1,0.729857
SCEN14,y_2_1_1,dem_2_1,1.185148
SCEN14,y_2_2_1,dem_2_1,0.866214
SCEN14,y_2_3_1,dem_2_1,0.729857
SCEN14,y_1_1_2,dem_1_2,1.150824
SCEN14,y_1_2_2,dem_1_2,0.538314
SCEN14,y_1_3_2,dem_1_2,0.828019
SCEN14,y_2_1_2,dem_2_2,1.150824
SCEN14,y_2_2_2,dem_2_2,0.538314
SCEN14,y_2_3_2,dem_2_2,0.828019
SCEN14,y_1_1_3,dem_1_3,1.49068
SCEN14,y_1_2_3,dem_1_3,1.35655
SCEN14,y_1_3_3,dem_1_3,1.48507
SCEN14,y_2_1_3,dem_2_3,1.49068
SCEN14,y_2_2_3,dem_2_3,1.35655
SCEN14,y_2_3_3,dem_2_3,1.48507
SCEN15,y_1_1_1,dem_1_1,1.258905
SCEN15,y_1_2_1,dem_1_1,1.029968
SCEN15,y_1_3_1,dem_1_1,0.948047
SCEN15,y_2_1_1,dem_2_1,1.258905
SCEN15,y_2_2_1,dem_2_1,1.029968
SCEN15,y_2_3_1,dem_2_1,0.948047
SCEN15,y_1_1_2,dem_1_2,1.416806
SCEN15,y_1_2_2,dem_1_2,0.979068
SCEN15,y_1_3_2,dem_1_2,1.325393
SCEN15,y_2_1_2,dem_2_2,1.416806
SCEN15,y_2_2_2,dem_2_2,0.979068
SCEN15,y_2_3_2,dem_2_2,1.325393
SCEN15,y_1_1_3,dem_1_3,0.601458
SCEN15,y_1_2_3,dem_1_3,1.018872
SCEN15,y_1_3_3,dem_1_3,0.808549
SCEN15,y_2_1_3,dem_2_3,0.601458
SCEN15,y_2_2_3,dem_2_3,1.018872
SCEN15,y_2_3_3,dem_2_3,0.808549
SCEN16,y_1_1_1,dem_1_1,0.622493
SCEN16,y_1_2_1,dem_1_1,0.608381
SCEN16,y_1_3_1,dem_1_1,1.176364
SCEN16,y_2_1_1,dem_2_1,0.622493
SCEN16,y_2_2_1,dem_2_1,0.608381
SCEN16,y_2_3_1,dem_2_1,1.176364
SCEN16,y_1_1_2,dem_1_2,0.625602
SCEN16,y_1_2_2,dem_1_2,0.582576
SCEN16,y_1_3_2,dem_1_2,1.02186
SCEN16,y_2_1_2,dem_2_2,0.625602
SCEN16,y_2_2_2,dem_2_2,0.582576
SCEN16,y_2_3_2,dem_2_2,1.02186
SCEN16,y_1_1_3,dem_1_3,0.996564
SCEN16,y_1_2_3,dem_1_3,0.980564
SCEN16,y_1_3_3,dem_1_3,1.48998
SCEN16,y_2_1_3,dem_2_3,0.996564
SCEN16,y_2_2_3,dem_2_3,0.980564
SCEN16,y_2_3_3,dem_2_3,1.48998
SCEN17,y_1_1_1,dem_1_1,1.372587
SCEN17,y_1_2_1,dem_1_1,1.141041
SCEN17,y_1_3_1,dem_1_1,1.27385
SCEN17,y_2_1_1,dem_2_1,1.372587
SCEN17,y_2_2_1,dem_2_1,1.141041
SCEN17,y_2_3_1,dem_2_1,1.27385
SCEN17,y_1_1_2,dem_1_2,1.429601
SCEN17,y_1_2_2,dem_1_2,0.534129
SCEN17,y_1_3_2,dem_1_2,1.185807
SCEN17,y_2_1_2,dem_2_2,1.429601
SCEN17,y_2_2_2,dem_2_2,0.534129
SCEN17,y_2_3_2,dem_2_2,1.185807
SCEN17,y_1_1_3,dem_1_3,1.144964
SCEN17,y_1_2_3,dem_1_3,0.828843
SCEN17,y_1_3_3,dem_1_3,0.835665
SCEN17,y_2_1_3,dem_2_3,1.144964
SCEN17,y_2_2_3,dem_2_3,0.828843
SCEN17,y_2_3_3,dem_2_3,0.835665
SCEN18,y_1_1_1,dem_1_1,1.141568
SCEN18,y_1_2_1,dem_1_1,1.170857
SCEN18,y_1_3_1,dem_1_1,1.01276
SCEN18,y_2_1_1,dem_2_1,1.141568
SCEN18,y_2_2_1,dem_2_1,1.170857
SCEN18,y_2_3_1,dem_2_1,1.01276
SCEN18,y_1_1_2,dem_1_2,1.25884
SCEN18,y_1_2_2,dem_1_2,0.932993
SCEN18,y_1_3_2,dem_1_2,1.1085
SCEN18,y_2_1_2,dem_2_2,1.25884
SCEN18,y_2_2_2,dem_2_2,0.932993
SCEN18,y_2_3_2,dem_2_2,1.1085
SCEN18,y_1_1_3,dem_1_3,0.579207
SCEN18,y_1_2_3,dem_1_3,1.073824
SCEN18,y_1_3_3,dem_1_3,1.377272
SCEN18,y_2_1_3,dem_2_3,0.579207
SCEN18,y_2_2_3,dem_2_3,1.073824
SCEN18,y_2_3_3,dem_2_3,1.377272
SCEN19,y_1_1_1,dem_1_1,0.628918
SCEN19,y_1_2_1,dem_1_1,1.456455
SCEN19,y_1_3_1,dem_1_1,0.956418
SCEN19,y_2_1_1,dem_2_1,0.628918
SCEN19,y_2_2_1,dem_2_1,1.456455
SCEN19,y_2_3_1,dem_2_1,0.956418
SCEN19,y_1_1_2,dem_1_2,1.479808
SCEN19,y_1_2_2,dem_1_2,0.508907
SCEN19,y_1_3_2,dem_1_2,1.395561
SCEN19,y_2_1_2,dem_2_2,1.479808
SCEN19,y_2_2_2,dem_2_2,0.508907
SCEN19,y_2_3_2,dem_2_2,1.395561
SCEN19,y_1_1_3,dem_1_3,0.906307
SCEN19,y_1_2_3,dem_1_3,0.537686
SCEN19,y_1_3_3,dem_1_3,1.295072
SCEN19,y_2_1_3,dem_2_3,0.906307
SCEN19,y_2_2_3,dem_2_3,0.537686
SCEN19,y_2_3_3,dem_2_3,1.295072
SCEN20,y_1_1_1,dem_1_1,0.507706
SCEN20,y_1_2_1,dem_1_1,0.523827
SCEN20,y_1_3_1,dem_1_1,1.25705
SCEN20,y_2_1_1,dem_2_1,0.507706
SCEN20,y_2_2_1,dem_2_1,0.523827
SCEN20,y_2_3_1,dem_2_1,1.25705
SCEN20,y_1_1_2,dem_1_2,0.815807
SCEN20,y_1_2_2,dem_1_2,1.451868
SCEN20,y_1_3_2,dem_1_2,1.115581
SCEN20,y_2_1_2,dem_2_2,0.815807
SCEN20,y_2_2_2,dem_2_2,1.451868
SCEN20,y_2_3_2,dem_2_2,1.115581
SCEN20,y_1_1_3,dem_1_3,1.333505
SCEN20,y_1_2_3,dem_1_3,0.639721
SCEN20,y_1_3_3,dem_1_3,1.409067
SCEN20,y_2_1_3,dem_2_3,1.333505
SCEN20,y_2_2_3,dem_2_3,0.639721
SCEN20,y_2_3_3,dem_2_3,1.409067
SCEN21,y_1_1_1,dem_1_1,1.457557
SCEN21,y_1_2_1,dem_1_1,0.647658
SCEN21,y_1_3_1,dem_1_1,1.054639
SCEN21,y_2_1_1,dem_2_1,1.457557
SCEN21,y_2_2_1,dem_2_1,0.647658
SCEN21,y_2_3_1,dem_2_1,1.054639
SCEN21,y_1_1_2,dem_1_2,0.831113
SCEN21,y_1_2_2,dem_1_2,1.143423
SCEN21,y_1_3_2,dem_1_2,1.23356
SCEN21,y_2_1_2,dem_2_2,0.831113
SCEN21,y_2_2_2,dem_2_2,1.143423
SCEN21,y_2_3_2,dem_2_2,1.23356
SCEN21,y_1_1_3,dem_1_3,0.612141
SCEN21,y_1_2_3,dem_1_3,0.969702
SCEN21,y_1_3_3,dem_1_3,1.049701
SCEN21,y_2_1_3,dem_2_3,0.612141
SCEN21,y_2_2_3,dem_2_3,0.969702
SCEN21,y_2_3_3,dem_2_3,1.049701
SCEN22,y_1_1_1,dem_1_1,0.747848
SCEN22,y_1_2_1,dem_1_1,1.102907
SCEN22,y_1_3_1,dem_1_1,1.487452
SCEN22,y_2_1_1,dem_2_1,0.747848
SCEN22,y_2_2_1,dem_2_1,1.102907
SCEN22,y_2_3_1,dem_2_1,1.487452
SCEN22,y_1_1_2,dem_1_2,0.673048
SCEN22,y_1_2_2,dem_1_2,1.167956
SCEN22,y_1_3_2,dem_1_2,1.197843
SCEN22,y_2_1_2,dem_2_2,0.673048
SCEN22,y_2_2_2,dem_2_2,1.167956
SCEN22,y_2_3_2,dem_2_2,1.197843
SCEN22,y_1_1_3,dem_1_3,0.645451
SCEN22,y_1_2_3,dem_1_3,1.46998
SCEN22,y_1_3_3,dem_1_3,1.100512
SCEN22,y_2_1_3,dem_2_3,0.645451
SCEN22,y_2_2_3,dem_2_3,1.46998
SCEN22,y_2_3_3,dem_2_3,1.100512
SCEN23,y_1_1_1,dem_1_1,1.371843
SCEN23,y_1_2_1,dem_1_1,1.405991
SCEN23,y_1_3_1,dem_1_1,0.813807
SCEN23,y_2_1_1,dem_2_1,1.371843
SCEN23,y_2_2_1,dem_2_1,1.405991
SCEN23,y_2_3_1,dem_2_1,0.813807
SCEN23,y_1_1_2,dem_1_2,0.685102
SCEN23,y_1_2_2,dem_1_2,1.38124
SCEN23,y_1_3_2,dem_1_2,1.06703
SCEN23,y_2_1_2,dem_2_2,0.685102
SCEN23,y_2_2_2,dem_2_2,1.38124
SCEN23,y_2_3_2,dem_2_2,1.06703
SCEN23,y_1_1_3,dem_1_3,0.575585
SCEN23,y_1_2_3,dem_1_3,1.419485
SCEN23,y_1_3_3,dem_1_3,0.803472
SCEN23,y_2_1_3,dem_2_3,0.575585
SCEN23,y_2_2_3,dem_2_3,1.419485
SCEN23,y_2_3_3,dem_2_3,0.803472
SCEN24,y_1_1_1,dem_1_1,1.247766
SCEN24,y_1_2_1,dem_1_1,0.583698
SCEN24,y_1_3_1,dem_1_1,1.281545
SCEN24,y_2_1_1,dem_2_1,1.247766
SCEN24,y_2_2_1,dem_2_1,0.583698
SCEN24,y_2_3_1,dem_2_1,1.281545
SCEN24,y_1_1_2,dem_1_2,0.551179
SCEN24,y_1_2_2,dem_1_2,0.851278
SCEN24,y_1_3_2,dem_1_2,0.607167
SCEN24,y_2_1_2,dem_2_2,0.551179
SCEN24,y_2_2_2,dem_2_2,0.851278
SCEN24,y_2_3_2,dem_2_2,0.607167
SCEN24,y_1_1_3,dem_1_3,1.048172
SCEN24,y_1_2_3,dem_1_3,0.947686
SCEN24,y_1_3_3,dem_1_3,1.394927
SCEN24,y_2_1_3,dem_2_3,1.048172
SCEN24,y_2_2_3,dem_2_3,0.947686
SCEN24,y_2_3_3,dem_2_3,1.394927
SCEN25,y_1_1_1,dem_1_1,0.902633
SCEN25,y_1_2_1,dem_1_1,0.665022
SCEN25,y_1_3_1,dem_1_1,1.454112
SCEN25,y_2_1_1,dem_2_1,0.902633
SCEN25,y_2_2_1,dem_2_1,0.665022
SCEN25,y_2_3_1,dem_2_1,1.454112
SCEN25,y_1_1_2,dem_1_2,0.94792
SCEN25,y_1_2_2,dem_1_2,1.049564
SCEN25,y_1_3_2,dem_1_2,0.579296
SCEN25,y_2_1_2,dem_2_2,0.94792
SCEN25,y_2_2_2,dem_2_2,1.049564
SCEN25,y_2_3_2,dem_2_2,0.579296
SCEN25,y_1_1_3,dem_1_3,1.32334
SCEN25,y_1_2_3,dem_1_3,0.768934
SCEN25,y_1_3_3,dem_1_3,0.506499
SCEN25,y_2_1_3,dem_2_3,1.32334
SCEN25,y_2_2_3,dem_2_3,0.768934
SCEN25,y_2_3_3,dem_2_3,0.506499
SCEN26,y_1_1_1,dem_1_1,1.005315
SCEN26,y_1_2_1,dem_1_1,1.291339
SCEN26,y_1_3_1,dem_1_1,1.434072
SCEN26,y_2_1_1,dem_2_1,1.005315
SCEN26,y_2_2_1,dem_2_1,1.291339
SCEN26,y_2_3_1,dem_2_1,1.434072
SCEN26,y_1_1_2,dem_1_2,1.023074
SCEN26,y_1_2_2,dem_1_2,0.506227
SCEN26,y_1_3_2,dem_1_2,1.216136
SCEN26,y_2_1_2,dem_2_2,1.023074
SCEN26,y_2_2_2,dem_2_2,0.506227
SCEN26,y_2_3_2,dem_2_2,1.216136
SCEN26,y_1_1_3,dem_1_3,0.958763
SCEN26,y_1_2_3,dem_1_3,1.189487
SCEN26,y_1_3_3,dem_1_3,1.231296
SCEN26,y_2_1_3,dem_2_3,0.958763
SCEN26,y_2_2_3,dem_2_3,1.189487
SCEN26,y_2_3_3,dem_2_3,1.231296
SCEN27,y_1_1_1,dem_1_1,0.556205
SCEN27,y_1_2_1,dem_1_1,1.224628
SCEN27,y_1_3_1,dem_1_1,1.066312
SCEN27,y_2_1_1,dem_2_1,0.556205
SCEN27,y_2_2_1,dem_2_1,1.224628
SCEN27,y_2_3_1,dem_2_1,1.066312
SCEN27,y_1_1_2,dem_1_2,0.810962
SCEN27,y_1_2_2,dem_1_2,1.088964
SCEN27,y_1_3_2,dem_1_2,1.115174
SCEN27,y_2_1_2,dem_2_2,0.810962
SCEN27,y_2_2_2,dem_2_2,1.088964
SCEN27,y_2_3_2,dem_2_2,1.115174
SCEN27,y_1_1_3,dem_1_3,1.468343
SCEN27,y_1_2_3,dem_1_3,0.724093
SCEN27,y_1_3_3,dem_1_3,0.90243
SCEN27,y_2_1_3,dem_2_3,1.468343
SCEN27,y_2_2_3,dem_2_3,0.724093
SCEN27,y_2_3_3,dem_2_3,0.90243
SCEN28,y_1_1_1,dem_1_1,0.556981
SCEN28,y_1_2_1,dem_1_1,1.005484
SCEN28,y_1_3_1,dem_1_1,0.949427
SCEN28,y_2_1_1,dem_2_1,0.556981
SCEN28,y_2_2_1,dem_2_1,1.005484
SCEN28,y_2_3_1,dem_2_1,0.949427
SCEN28,y_1_1_2,dem_1_2,0.93976
SCEN28,y_1_2_2,dem_1_2,1.385163
SCEN28,y_1_3_2,dem_1_2,0.555274
SCEN28,y_2_1_2,dem_2_2,0.93976
SCEN28,y_2_2_2,dem_2_2,1.385163
SCEN28,y_2_3_2,dem_2_2,0.555274
SCEN28,y_1_1_3,dem_1_3,1.406438
SCEN28,y_1_2_3,dem_1_3,0.676392
SCEN28,y_1_3_3,dem_1_3,1.218197
SCEN28,y_2_1_3,dem_2_3,1.406438
SCEN28,y_2_2_3,dem_2_3,0.676392
SCEN28,y_2_3_3,dem_2_3,1.218197
SCEN29,y_1_1_1,dem_1_1,1.018462
SCEN29,y_1_2_1,dem_1_1,0.737836
SCEN29,y_1_3_1,dem_1_1,0.78739
SCEN29,y_2_1_1,dem_2_1,1.018462
SCEN29,y_2_2_1,dem_2_1,0.737836
SCEN29,y_2_3_1,dem_2_1,0.78739
SCEN29,y_1_1_2,dem_1_2,1.152541
SCEN29,y_1_2_2,dem_1_2,1.180978
SCEN29,y_1_3_2,dem_1_2,0.625273
SCEN29,y_2_1_2,dem_2_2,1.152541
SCEN29,y_2_2_2,dem_2_2,1.180978
SCEN29,y_2_3_2,dem_2_2,0.625273
SCEN29,y_1_1_3,dem_1_3,1.154469
SCEN29,y_1_2_3,dem_1_3,1.098464
SCEN29,y_1_3_3,dem_1_3,0.577523
SCEN29,y_2_1_3,dem_2_3,1.154469
SCEN29,y_2_2_3,dem_2_3,1.098464
SCEN29,y_2_3_3,dem_2_3,0.577523
SCEN30,y_1_1_1,dem_1_1,1.162847
SCEN30,y_1_2_1,dem_1_1,1.092982
SCEN30,y_1_3_1,dem_1_1,1.093512
SCEN30,y_2_1_1,dem_2_1,1.162847
SCEN30,y_2_2_1,dem_2_1,1.092982
SCEN30,y_2_3_1,dem_2_1,1.093512
SCEN30,y_1_1_2,dem_1_2,1.319547
SCEN30,y_1_2_2,dem_1_2,0.970877
SCEN30,y_1_3_2,dem_1_2,0.530058
SCEN30,y_2_1_2,dem_2_2,1.319547
SCEN30,y_2_2_2,dem_2_2,0.970877
SCEN30,y_2_3_2,dem_2_2,0.530058
SCEN30,y_1_1_3,dem_1_3,1.374583
SCEN30,y_1_2_3,dem_1_3,0.932472
