scenario,termination_condition,Q_value,num_fixed_first_stage_vars
SCEN92,optimal,2381.2179610000003,12
SCEN93,optimal,1597.088099,12
SCEN94,optimal,2890.679736,12
SCEN95,optimal,3175.444641,12
SCEN96,optimal,2667.7357939999997,12
SCEN97,optimal,2779.812248,12
SCEN98,optimal,3011.59241,12
SCEN99,optimal,3387.165333,12
SCEN100,optimal,3683.560269,12
SCEN101,optimal,2780.00645,12
SCEN102,optimal,2209.707071,12
SCEN103,optimal,3173.560832,12
SCEN104,optimal,969.1856409999999,12
SCEN105,optimal,1761.483742,12
SCEN106,optimal,3909.465847,12
SCEN107,optimal,4029.912144,12
SCEN108,optimal,1752.688255,12
SCEN109,optimal,1987.3980920000001,12
SCEN110,optimal,2501.664258,12
SCEN111,optimal,2779.812248,12
SCEN112,optimal,1760.06631,12
SCEN113,optimal,1596.965182,12
SCEN114,optimal,969.1856409999999,12
SCEN115,optimal,2379.334152,12
SCEN116,optimal,2211.491146,12
SCEN117,optimal,1985.585568,12
SCEN118,optimal,2258.787641,12
SCEN119,optimal,849.962574,12
SCEN120,optimal,846.923992,12
SCEN121,optimal,2108.223103,12
SCEN122,optimal,970.2627239999999,12
SCEN123,optimal,1477.3697260000001,12
SCEN124,optimal,2889.262304,12
SCEN125,optimal,848.940234,12
SCEN126,optimal,2902.142354,12
SCEN127,optimal,3795.314639,12
SCEN128,optimal,2106.893334,12
SCEN129,optimal,2500.246826,12
SCEN130,optimal,1475.952294,12
SCEN131,optimal,2106.498242,12
SCEN132,optimal,2991.9758269999998,12
SCEN133,optimal,3011.197318,12
SCEN134,optimal,1873.134552,12
SCEN135,optimal,1987.3980920000001,12
SCEN136,optimal,3011.197318,12
SCEN137,optimal,1760.06631,12
SCEN138,optimal,1475.6801189999999,12
SCEN139,optimal,2995.014409,12
SCEN140,optimal,3164.461262,12
SCEN141,optimal,1598.110439,12
SCEN142,optimal,2391.191862,12
SCEN143,optimal,845.50656,12
SCEN144,optimal,3011.504747,12
SCEN145,optimal,3793.897207,12
SCEN146,optimal,3958.380513,12
SCEN147,optimal,2995.014409,12
SCEN148,optimal,2106.533496,12
SCEN149,optimal,2259.738696,12
SCEN150,optimal,2608.178098,12
SCEN151,optimal,3234.208818,12
SCEN152,optimal,1476.4476,12
SCEN153,optimal,1985.585568,12
SCEN154,optimal,3285.781579,12
SCEN155,optimal,3795.00721,12
SCEN156,optimal,1598.194966,12
SCEN157,optimal,2269.871545,12
SCEN158,optimal,2150.376303,12
SCEN159,optimal,1596.965182,12
SCEN160,optimal,1476.359937,12
SCEN161,optimal,1359.495634,12
SCEN162,optimal,1756.80392,12
SCEN163,optimal,2882.613434,12
SCEN164,optimal,2148.958871,12
SCEN165,optimal,1477.3697260000001,12
SCEN166,optimal,2889.333589,12
SCEN167,optimal,2882.613434,12
SCEN168,optimal,3005.717826,12
SCEN169,optimal,2719.240131,12
SCEN170,optimal,2383.916194,12
SCEN171,optimal,970.875248,12
SCEN172,optimal,2546.82312,12
SCEN173,optimal,2384.311286,12
SCEN174,optimal,2900.724922,12
SCEN175,optimal,1985.9806600000002,12
SCEN176,optimal,1476.4476,12
SCEN177,optimal,3388.949408,12
SCEN178,optimal,1985.585568,12
SCEN179,optimal,1753.63931,12
SCEN180,optimal,1583.98378,12
SCEN181,optimal,845.50656,12
SCEN182,optimal,1480.168173,12
SCEN183,optimal,2719.240131,12
SCEN184,optimal,3795.402302,12
SCEN185,optimal,3011.197318,12
SCEN186,optimal,3235.685464,12
SCEN187,optimal,1987.0030000000002,12
SCEN188,optimal,3173.153189,12
SCEN189,optimal,2258.321264,12
SCEN190,optimal,3174.027209,12
SCEN191,optimal,2379.800529,12
SCEN192,optimal,2384.311286,12
SCEN193,optimal,3622.521775,12
SCEN194,optimal,2108.038591,12
SCEN195,optimal,2902.142354,12
SCEN196,optimal,3622.988152,12
SCEN197,optimal,1985.585568,12
SCEN198,optimal,1476.4476,12
SCEN199,optimal,1476.4476,12
SCEN200,optimal,2271.69662,12
