solution,scenario,probability,Q_s_x,p_s_Q_s_x
x_star,SCEN83,0.005,1476.052508,7.38026254
x_star,SCEN84,0.005,1749.2545810000001,8.746272905000001
x_star,SCEN85,0.005,1747.566617,8.737833085
x_star,SCEN86,0.005,2500.246826,12.50123413
x_star,SCEN87,0.005,2653.51077,13.267553849999999
x_star,SCEN88,0.005,1596.965182,7.98482591
x_star,SCEN89,0.005,1596.693007,7.983465035000001
x_star,SCEN90,0.005,1873.134552,9.36567276
x_star,SCEN91,0.005,1749.2545810000001,8.746272905000001
x_star,SCEN92,0.005,1752.688255,8.763441275
x_star,SCEN93,0.005,1595.778849,7.978894245
x_star,SCEN94,0.005,1748.788204,8.74394102
x_star,SCEN95,0.005,2378.886371,11.894431855
x_star,SCEN96,0.005,1873.134552,9.36567276
x_star,SCEN97,0.005,1476.052508,7.38026254
x_star,SCEN98,0.005,1872.73946,9.3636973
x_star,SCEN99,0.005,2653.51077,13.267553849999999
x_star,SCEN100,0.005,2379.800529,11.899002645000001
x_star,SCEN101,0.005,1476.052508,7.38026254
x_star,SCEN102,0.005,1476.052508,7.38026254
x_star,SCEN103,0.005,2378.419994,11.89209997
x_star,SCEN104,0.005,966.147059,4.830735295
x_star,SCEN105,0.005,969.1856409999999,4.845928205
x_star,SCEN106,0.005,2379.800529,11.899002645000001
x_star,SCEN107,0.005,2500.246826,12.50123413
x_star,SCEN108,0.005,1749.2545810000001,8.746272905000001
x_star,SCEN109,0.005,848.545142,4.24272571
x_star,SCEN110,0.005,1869.7008779999999,9.34850439
x_star,SCEN111,0.005,1476.052508,7.38026254
x_star,SCEN112,0.005,1596.693007,7.983465035000001
x_star,SCEN113,0.005,1596.051024,7.980255120000001
x_star,SCEN114,0.005,965.232901,4.826164505
x_star,SCEN115,0.005,2378.419994,11.89209997
x_star,SCEN116,0.005,845.50656,4.2275328000000005
x_star,SCEN117,0.005,1476.052508,7.38026254
x_star,SCEN118,0.005,1748.947152,8.74473576
x_star,SCEN119,0.005,847.630984,4.23815492
x_star,SCEN120,0.005,845.50656,4.2275328000000005
x_star,SCEN121,0.005,966.419234,4.83209617
x_star,SCEN122,0.005,966.147059,4.830735295
x_star,SCEN123,0.005,966.111805,4.830559025
x_star,SCEN124,0.005,2380.751584,11.90375792
x_star,SCEN125,0.005,844.680065,4.223400325
x_star,SCEN126,0.005,1596.965182,7.98482591
x_star,SCEN127,0.005,2653.51077,13.267553849999999
x_star,SCEN128,0.005,1596.965182,7.98482591
x_star,SCEN129,0.005,1869.7008779999999,9.34850439
x_star,SCEN130,0.005,966.111805,4.830559025
x_star,SCEN131,0.005,966.419234,4.83209617
x_star,SCEN132,0.005,1748.788204,8.74394102
x_star,SCEN133,0.005,1873.134552,9.36567276
x_star,SCEN134,0.005,1869.7008779999999,9.34850439
x_star,SCEN135,0.005,848.545142,4.24272571
x_star,SCEN136,0.005,1869.7008779999999,9.34850439
x_star,SCEN137,0.005,969.1856409999999,4.845928205
x_star,SCEN138,0.005,967.564491,4.837822455
x_star,SCEN139,0.005,1748.788204,8.74394102
x_star,SCEN140,0.005,2653.203341,13.266016705
x_star,SCEN141,0.005,969.580733,4.8479036650000005
x_star,SCEN142,0.005,1596.965182,7.98482591
x_star,SCEN143,0.005,845.1991310000001,4.225995655
x_star,SCEN144,0.005,1869.7008779999999,9.34850439
x_star,SCEN145,0.005,2653.51077,13.267553849999999
x_star,SCEN146,0.005,2656.549352,13.28274676
x_star,SCEN147,0.005,1748.788204,8.74394102
x_star,SCEN148,0.005,966.147059,4.830735295
x_star,SCEN149,0.005,1748.788204,8.74394102
x_star,SCEN150,0.005,1869.7008779999999,9.34850439
x_star,SCEN151,0.005,1869.7008779999999,9.34850439
x_star,SCEN152,0.005,1476.052508,7.38026254
x_star,SCEN153,0.005,848.940234,4.24470117
x_star,SCEN154,0.005,2653.51077,13.267553849999999
x_star,SCEN155,0.005,2653.51077,13.267553849999999
x_star,SCEN156,0.005,968.271483,4.841357415
x_star,SCEN157,0.005,970.875248,4.854376240000001
x_star,SCEN158,0.005,1476.052508,7.38026254
x_star,SCEN159,0.005,969.852908,4.84926454
x_star,SCEN160,0.005,845.50656,4.2275328000000005
x_star,SCEN161,0.005,845.50656,4.2275328000000005
x_star,SCEN162,0.005,1749.2545810000001,8.746272905000001
x_star,SCEN163,0.005,1476.052508,7.38026254
x_star,SCEN164,0.005,1476.052508,7.38026254
x_star,SCEN165,0.005,966.419234,4.83209617
x_star,SCEN166,0.005,1749.2545810000001,8.746272905000001
x_star,SCEN167,0.005,1476.052508,7.38026254
x_star,SCEN168,0.005,1476.4476,7.382238
x_star,SCEN169,0.005,848.940234,4.24470117
x_star,SCEN170,0.005,1752.293163,8.761465815000001
x_star,SCEN171,0.005,969.457816,4.84728908
x_star,SCEN172,0.005,1751.826786,8.75913393
x_star,SCEN173,0.005,1752.293163,8.761465815000001
x_star,SCEN174,0.005,1596.965182,7.98482591
x_star,SCEN175,0.005,848.545142,4.24272571
x_star,SCEN176,0.005,1476.052508,7.38026254
x_star,SCEN177,0.005,2653.203341,13.266016705
x_star,SCEN178,0.005,848.940234,4.24470117
x_star,SCEN179,0.005,1748.875867,8.744379335
x_star,SCEN180,0.005,849.962574,4.24981287
x_star,SCEN181,0.005,844.284973,4.221424865
x_star,SCEN182,0.005,1476.052508,7.38026254
x_star,SCEN183,0.005,845.50656,4.2275328000000005
x_star,SCEN184,0.005,2656.549352,13.28274676
x_star,SCEN185,0.005,1869.7008779999999,9.34850439
x_star,SCEN186,0.005,1869.7008779999999,9.34850439
x_star,SCEN187,0.005,845.50656,4.2275328000000005
x_star,SCEN188,0.005,1872.73946,9.3636973
x_star,SCEN189,0.005,1748.788204,8.74394102
x_star,SCEN190,0.005,2379.800529,11.899002645000001
x_star,SCEN191,0.005,2379.800529,11.899002645000001
x_star,SCEN192,0.005,2379.800529,11.899002645000001
x_star,SCEN193,0.005,1752.221878,8.76110939
x_star,SCEN194,0.005,966.147059,4.830735295
x_star,SCEN195,0.005,1596.965182,7.98482591
x_star,SCEN196,0.005,1749.2545810000001,8.746272905000001
x_star,SCEN197,0.005,1476.052508,7.38026254
x_star,SCEN198,0.005,844.592402,4.22296201
x_star,SCEN199,0.005,847.630984,4.23815492
x_star,SCEN200,0.005,1476.052508,7.38026254
x_EV,SCEN1,0.005,1985.585568,9.92792784
x_EV,SCEN2,0.005,3513.466811,17.567334055
x_EV,SCEN3,0.005,967.564491,4.837822455
x_EV,SCEN4,0.005,1579.161123,7.895805615
x_EV,SCEN5,0.005,1597.3602740000001,7.986801370000001
x_EV,SCEN6,0.005,2889.728681,14.448643405
x_EV,SCEN7,0.005,3793.589778,18.96794889
x_EV,SCEN8,0.005,2269.871545,11.349357725
x_EV,SCEN9,0.005,967.253926,4.83626963
x_EV,SCEN10,0.005,2992.442204,14.96221102
x_EV,SCEN11,0.005,4527.639433,22.638197165
x_EV,SCEN12,0.005,3793.589778,18.96794889
x_EV,SCEN13,0.005,3278.146093,16.390730465
x_EV,SCEN14,0.005,2212.768356,11.06384178
x_EV,SCEN15,0.005,2379.334152,11.89667076
x_EV,SCEN16,0.005,1477.3697260000001,7.386848630000001
x_EV,SCEN17,0.005,3793.589778,18.96794889
x_EV,SCEN18,0.005,4017.711281,20.088556405
x_EV,SCEN19,0.005,1480.168173,7.400840865
x_EV,SCEN20,0.005,2271.288977,11.356444885
x_EV,SCEN21,0.005,2665.037561,13.325187805
x_EV,SCEN22,0.005,3278.61247,16.39306235
x_EV,SCEN23,0.005,3052.240515,15.261202575
x_EV,SCEN24,0.005,2380.65137,11.90325685
x_EV,SCEN25,0.005,967.836666,4.83918333
x_EV,SCEN26,0.005,3388.949408,16.94474704
x_EV,SCEN27,0.005,3052.706892,15.26353446
x_EV,SCEN28,0.005,1356.457052,6.78228526
x_EV,SCEN29,0.005,2106.533496,10.53266748
x_EV,SCEN30,0.005,3166.082412,15.830412060000002
x_EV,SCEN31,0.005,1639.425811,8.197129055000001
x_EV,SCEN32,0.005,3284.45181,16.42225905
x_EV,SCEN33,0.005,2543.173832,12.71586916
x_EV,SCEN34,0.005,1985.585568,9.92792784
x_EV,SCEN35,0.005,848.545142,4.24272571
x_EV,SCEN36,0.005,1873.816543,9.369082715
x_EV,SCEN37,0.005,2392.609294,11.96304647
x_EV,SCEN38,0.005,2653.51077,13.267553849999999
x_EV,SCEN39,0.005,1356.457052,6.78228526
x_EV,SCEN40,0.005,2663.620129,13.318100645
x_EV,SCEN41,0.005,1754.105687,8.770528435000001
x_EV,SCEN42,0.005,2379.800529,11.899002645000001
x_EV,SCEN43,0.005,2544.124887,12.720624435
x_EV,SCEN44,0.005,1477.46994,7.3873497
x_EV,SCEN45,0.005,2882.613434,14.41306717
x_EV,SCEN46,0.005,1358.0782020000001,6.7903910100000004
x_EV,SCEN47,0.005,1748.788204,8.74394102
x_EV,SCEN48,0.005,1869.7008779999999,9.34850439
x_EV,SCEN49,0.005,2261.826223,11.309131115
x_EV,SCEN50,0.005,3173.560832,15.86780416
x_EV,SCEN51,0.005,2658.361876,13.29180938
x_EV,SCEN52,0.005,1359.890726,6.79945363
x_EV,SCEN53,0.005,3054.124324,15.27062162
x_EV,SCEN54,0.005,4017.711281,20.088556405
x_EV,SCEN55,0.005,2379.233938,11.896169689999999
x_EV,SCEN56,0.005,3011.59241,15.05796205
x_EV,SCEN57,0.005,3786.3614549999998,18.931807275
x_EV,SCEN58,0.005,2269.59937,11.34799685
x_EV,SCEN59,0.005,2891.05845,14.45529225
x_EV,SCEN60,0.005,2150.376303,10.751881515000001
x_EV,SCEN61,0.005,2661.060109,13.305300545
x_EV,SCEN62,0.005,2542.7074549999998,12.713537274999998
x_EV,SCEN63,0.005,967.564491,4.837822455
x_EV,SCEN64,0.005,3295.890938,16.47945469
x_EV,SCEN65,0.005,2374.864449,11.874322245
x_EV,SCEN66,0.005,2890.751021,14.453755105
x_EV,SCEN67,0.005,2890.284644,14.451423219999999
x_EV,SCEN68,0.005,3513.466811,17.567334055
x_EV,SCEN69,0.005,3236.080556,16.18040278
x_EV,SCEN70,0.005,2332.131645,11.660658225
x_EV,SCEN71,0.005,2719.240131,13.596200655
x_EV,SCEN72,0.005,3288.172383,16.440861915
x_EV,SCEN73,0.005,2088.694183,10.443470915
x_EV,SCEN74,0.005,970.603073,4.853015365
x_EV,SCEN75,0.005,2500.246826,12.50123413
x_EV,SCEN76,0.005,2262.777278,11.31388639
x_EV,SCEN77,0.005,2384.311286,11.92155643
x_EV,SCEN78,0.005,2667.7357939999997,13.338678969999998
x_EV,SCEN79,0.005,2380.65137,11.90325685
x_EV,SCEN80,0.005,1987.3980920000001,9.93699046
x_EV,SCEN81,0.005,1477.097551,7.385487755000001
x_EV,SCEN82,0.005,2501.664258,12.50832129
x_EV,SCEN83,0.005,1640.843243,8.204216215
x_EV,SCEN84,0.005,2992.442204,14.96221102
x_EV,SCEN85,0.005,1750.205636,8.75102818
x_EV,SCEN86,0.005,4537.661129,22.688305645
x_EV,SCEN87,0.005,2657.626435,13.288132175000001
x_EV,SCEN88,0.005,2391.191862,11.95595931
x_EV,SCEN89,0.005,2900.452747,14.502263735
x_EV,SCEN90,0.005,3011.197318,15.05598659
x_EV,SCEN91,0.005,2889.333589,14.446667945
x_EV,SCEN92,0.005,2381.2179610000003,11.906089805000002
x_EV,SCEN93,0.005,1597.088099,7.985440495000001
x_EV,SCEN94,0.005,2890.679736,14.453398680000001
x_EV,SCEN95,0.005,3175.444641,15.877223205
x_EV,SCEN96,0.005,2667.7357939999997,13.338678969999998
x_EV,SCEN97,0.005,2779.812248,13.899061240000002
x_EV,SCEN98,0.005,3011.59241,15.05796205
x_EV,SCEN99,0.005,3387.165333,16.935826665
x_EV,SCEN100,0.005,3683.560269,18.417801345
x_EV,SCEN101,0.005,2780.00645,13.900032249999999
x_EV,SCEN102,0.005,2209.707071,11.048535354999999
x_EV,SCEN103,0.005,3173.560832,15.86780416
x_EV,SCEN104,0.005,969.1856409999999,4.845928205
x_EV,SCEN105,0.005,1761.483742,8.80741871
x_EV,SCEN106,0.005,3909.465847,19.547329235
x_EV,SCEN107,0.005,4029.912144,20.14956072
x_EV,SCEN108,0.005,1752.688255,8.763441275
x_EV,SCEN109,0.005,1987.3980920000001,9.93699046
x_EV,SCEN110,0.005,2501.664258,12.50832129
x_EV,SCEN111,0.005,2779.812248,13.899061240000002
x_EV,SCEN112,0.005,1760.06631,8.80033155
x_EV,SCEN113,0.005,1596.965182,7.98482591
x_EV,SCEN114,0.005,969.1856409999999,4.845928205
x_EV,SCEN115,0.005,2379.334152,11.89667076
x_EV,SCEN116,0.005,2211.491146,11.05745573
x_EV,SCEN117,0.005,1985.585568,9.92792784
x_EV,SCEN118,0.005,2258.787641,11.293938205
x_EV,SCEN119,0.005,849.962574,4.24981287
x_EV,SCEN120,0.005,846.923992,4.23461996
x_EV,SCEN121,0.005,2108.223103,10.541115515
x_EV,SCEN122,0.005,970.2627239999999,4.85131362
x_EV,SCEN123,0.005,1477.3697260000001,7.386848630000001
x_EV,SCEN124,0.005,2889.262304,14.44631152
x_EV,SCEN125,0.005,848.940234,4.24470117
x_EV,SCEN126,0.005,2902.142354,14.51071177
x_EV,SCEN127,0.005,3795.314639,18.976573195
x_EV,SCEN128,0.005,2106.893334,10.534466669999999
x_EV,SCEN129,0.005,2500.246826,12.50123413
x_EV,SCEN130,0.005,1475.952294,7.37976147
x_EV,SCEN131,0.005,2106.498242,10.532491210000002
x_EV,SCEN132,0.005,2991.9758269999998,14.959879135
x_EV,SCEN133,0.005,3011.197318,15.05598659
x_EV,SCEN134,0.005,1873.134552,9.36567276
x_EV,SCEN135,0.005,1987.3980920000001,9.93699046
x_EV,SCEN136,0.005,3011.197318,15.05598659
x_EV,SCEN137,0.005,1760.06631,8.80033155
x_EV,SCEN138,0.005,1475.6801189999999,7.378400595
x_EV,SCEN139,0.005,2995.014409,14.975072045
x_EV,SCEN140,0.005,3164.461262,15.82230631
x_EV,SCEN141,0.005,1598.110439,7.990552195
x_EV,SCEN142,0.005,2391.191862,11.95595931
x_EV,SCEN143,0.005,845.50656,4.2275328000000005
x_EV,SCEN144,0.005,3011.504747,15.057523735
x_EV,SCEN145,0.005,3793.897207,18.969486035
x_EV,SCEN146,0.005,3958.380513,19.791902565
x_EV,SCEN147,0.005,2995.014409,14.975072045
x_EV,SCEN148,0.005,2106.533496,10.53266748
x_EV,SCEN149,0.005,2259.738696,11.298693479999999
x_EV,SCEN150,0.005,2608.178098,13.040890489999999
x_EV,SCEN151,0.005,3234.208818,16.171044090000002
x_EV,SCEN152,0.005,1476.4476,7.382238
x_EV,SCEN153,0.005,1985.585568,9.92792784
x_EV,SCEN154,0.005,3285.781579,16.428907895000002
x_EV,SCEN155,0.005,3795.00721,18.97503605
x_EV,SCEN156,0.005,1598.194966,7.99097483
x_EV,SCEN157,0.005,2269.871545,11.349357725
x_EV,SCEN158,0.005,2150.376303,10.751881515000001
x_EV,SCEN159,0.005,1596.965182,7.98482591
x_EV,SCEN160,0.005,1476.359937,7.381799685
x_EV,SCEN161,0.005,1359.495634,6.797478170000001
x_EV,SCEN162,0.005,1756.80392,8.7840196
x_EV,SCEN163,0.005,2882.613434,14.41306717
x_EV,SCEN164,0.005,2148.958871,10.744794355
x_EV,SCEN165,0.005,1477.3697260000001,7.386848630000001
x_EV,SCEN166,0.005,2889.333589,14.446667945
x_EV,SCEN167,0.005,2882.613434,14.41306717
x_EV,SCEN168,0.005,3005.717826,15.02858913
x_EV,SCEN169,0.005,2719.240131,13.596200655
x_EV,SCEN170,0.005,2383.916194,11.91958097
x_EV,SCEN171,0.005,970.875248,4.854376240000001
x_EV,SCEN172,0.005,2546.82312,12.7341156
x_EV,SCEN173,0.005,2384.311286,11.92155643
x_EV,SCEN174,0.005,2900.724922,14.50362461
x_EV,SCEN175,0.005,1985.9806600000002,9.929903300000001
x_EV,SCEN176,0.005,1476.4476,7.382238
x_EV,SCEN177,0.005,3388.949408,16.94474704
x_EV,SCEN178,0.005,1985.585568,9.92792784
x_EV,SCEN179,0.005,1753.63931,8.76819655
x_EV,SCEN180,0.005,1583.98378,7.9199189
x_EV,SCEN181,0.005,845.50656,4.2275328000000005
x_EV,SCEN182,0.005,1480.168173,7.400840865
x_EV,SCEN183,0.005,2719.240131,13.596200655
x_EV,SCEN184,0.005,3795.402302,18.97701151
x_EV,SCEN185,0.005,3011.197318,15.05598659
x_EV,SCEN186,0.005,3235.685464,16.17842732
x_EV,SCEN187,0.005,1987.0030000000002,9.935015000000002
x_EV,SCEN188,0.005,3173.153189,15.865765945000001
x_EV,SCEN189,0.005,2258.321264,11.291606320000001
x_EV,SCEN190,0.005,3174.027209,15.870136044999999
x_EV,SCEN191,0.005,2379.800529,11.899002645000001
x_EV,SCEN192,0.005,2384.311286,11.92155643
x_EV,SCEN193,0.005,3622.521775,18.112608875000003
x_EV,SCEN194,0.005,2108.038591,10.540192955
x_EV,SCEN195,0.005,2902.142354,14.51071177
x_EV,SCEN196,0.005,3622.988152,18.11494076
x_EV,SCEN197,0.005,1985.585568,9.92792784
x_EV,SCEN198,0.005,1476.4476,7.382238
x_EV,SCEN199,0.005,1476.4476,7.382238
x_EV,SCEN200,0.005,2271.69662,11.3584831
