NAME MPTSPs_50_1
COMMENT 
TYPE MPTSPs
DIMENSION 54
N_PATH 3
13 37 4276
13 38 6326
13 39 3296
13 40 6688
13 41 5648
13 42 4083
13 43 4445
13 44 5820
13 45 5757
13 46 3601
13 47 3910
13 48 5568
13 49 6614
13 50 4220
13 51 6686
13 52 6233
13 53 4144
13 54 5592
14 1 1880
14 2 3002
14 3 2845
14 4 2758
14 5 3562
14 6 2943
14 7 3410
14 8 3700
14 9 1897
14 10 1920
14 11 1935
14 12 1509
14 13 2353
14 14 0
14 15 810
14 16 1773
14 17 2316
14 18 3404
14 19 4877
14 20 4853
14 21 3233
14 22 3994
14 23 3136
14 24 4591
14 25 4343
14 26 3614
14 27 4832
14 28 4966
14 29 4872
14 30 4597
14 31 4255
14 32 4001
14 33 3335
14 34 3232
14 35 6006
14 36 3514
14 37 5901
14 38 4724
14 39 3283
14 40 7942
14 41 4604
14 42 4362
14 43 8106
14 44 6430
14 45 9038
14 46 5694
14 47 5742
14 48 5802
14 49 6987
14 50 5716
14 51 7313
14 52 7430
14 53 5074
14 54 6496
15 1 2040
15 2 1863
15 3 1932
15 4 2817
15 5 3828
15 6 2386
15 7 3201
15 8 3461
15 9 1691
15 10 2342
15 11 1862
15 12 1189
15 13 1311
15 14 810
15 15 0
15 16 1475
15 17 1760
15 18 2279
15 19 3222
15 20 4497
15 21 2767
15 22 3805
15 23 2705
15 24 3989
15 25 3537
15 26 3052
15 27 5526
15 28 4852
15 29 4269
15 30 4349
15 31 3424
15 32 3554
15 33 4143
15 34 4406
15 35 6452
15 36 4287
15 37 7099
15 38 4297
15 39 2824
15 40 6476
15 41 5554
15 42 4305
15 43 6261
15 44 6796
15 45 8230
15 46 4684
15 47 5351
15 48 5886
15 49 7857
15 50 4915
15 51 7320
15 52 9030
15 53 5814
15 54 5888
16 1 3069
16 2 2723
16 3 3261
16 4 3812
16 5 5333
16 6 3324
16 7 5834
16 8 5286
16 9 3129
16 10 4269
16 11 3536
16 12 2563
16 13 2583
16 14 1773
16 15 1475
16 16 0
16 17 1080
16 18 1113
16 19 3136
16 20 4029
16 21 2785
16 22 3547
16 23 3271
16 24 3963
16 25 4381
16 26 4169
16 27 6626
16 28 5144
16 29 4978
16 30 4961
16 31 4340
16 32 4562
16 33 5897
16 34 5945
16 35 7159
16 36 4974
16 37 7684
16 38 4183
16 39 1079
16 40 4914
16 41 4825
16 42 5758
16 43 7717
16 44 6099
16 45 8261
16 46 3746
16 47 6423
16 48 7878
16 49 7205
16 50 6606
16 51 7702
16 52 10451
16 53 6277
16 54 5268
17 1 2430
17 2 2693
17 3 2233
17 4 3917
17 5 5208
17 6 2986
17 7 4787
17 8 3778
17 9 3122
17 10 3908
17 11 3436
17 12 1908
17 13 2034
17 14 2316
17 15 1760
17 16 1080
17 17 0
17 18 854
17 19 1920
17 20 2776
17 21 1641
17 22 3180
17 23 3113
17 24 3425
17 25 2848
17 26 3355
17 27 6314
17 28 5408
17 29 4103
17 30 4490
17 31 4549
17 32 4155
17 33 5693
17 34 5828
17 35 7161
17 36 5479
17 37 6422
17 38 5269
17 39 1421
17 40 4802
17 41 6301
17 42 5828
17 43 5945
17 44 5283
17 45 6889
17 46 2898
17 47 4976
17 48 7034
17 49 6787
17 50 5222
17 51 6991
17 52 8717
17 53 6150
17 54 4706
18 1 3710
18 2 3074
18 3 2703
18 4 4402
18 5 5791
18 6 4090
18 7 5703
18 8 4770
18 9 3558
18 10 4460
18 11 4021
18 12 3153
18 13 2233
18 14 3404
18 15 2279
18 16 1113
18 17 854
18 18 0
18 19 2271
18 20 2537
18 21 2438
18 22 3179
18 23 4070
18 24 3501
18 25 4318
18 26 3715
18 27 5868
18 28 6604
18 29 4707
18 30 5477
18 31 5266
18 32 4193
18 33 5802
18 34 7107
18 35 7814
18 36 5791
18 37 7597
18 38 5064
18 39 699
18 40 3997
18 41 7172
18 42 6626
18 43 6521
18 44 3796
18 45 6448
18 46 2640
18 47 4732
18 48 7985
18 49 8044
18 50 5987
18 51 7649
18 52 10500
18 53 6227
18 54 3652
19 1 2004
19 2 2158
19 3 2508
19 4 4851
19 5 5950
19 6 3180
19 7 4510
19 8 4288
19 9 3340
19 10 5759
19 11 3028
19 12 2925
19 13 2398
19 14 4877
19 15 3222
19 16 3136
19 17 1920
19 18 2271
19 19 0
19 20 1025
19 21 410
19 22 1819
19 23 1834
19 24 1171
19 25 1413
19 26 2387
19 27 4387
19 28 3320
19 29 2771
19 30 4497
19 31 3914
19 32 3256
19 33 6699
19 34 6402
19 35 7749
19 36 7041
19 37 4521
19 38 7401
19 39 3193
19 40 5697
19 41 8676
19 42 6655
19 43 4088
19 44 3401
19 45 5573
19 46 1112
19 47 2470
19 48 7941
19 49 7152
19 50 4607
19 51 7268
19 52 7590
19 53 6601
19 54 2578
20 1 3247
20 2 3079
20 3 3230
20 4 4944
20 5 6564
20 6 4419
20 7 5832
20 8 5771
20 9 4731
20 10 5627
20 11 4242
20 12 3649
20 13 3733
20 14 4853
20 15 4497
20 16 4029
20 17 2776
20 18 2537
20 19 1025
20 20 0
20 21 1091
20 22 1862
20 23 3301
20 24 1668
20 25 1924
20 26 2882
20 27 5471
20 28 3969
20 29 3731
20 30 5817
20 31 4039
20 32 4087
20 33 6498
20 34 7409
20 35 9549
20 36 8120
20 37 5777
20 38 6636
20 39 3304
20 40 4433
20 41 8720
20 42 7659
20 43 3506
20 44 2093
20 45 4673
20 46 291
20 47 3000
20 48 7125
20 49 6801
20 50 5375
20 51 7035
20 52 8396
20 53 6055
20 54 1954
21 1 1871
21 2 1608
21 3 1910
21 4 3424
21 5 5486
21 6 2296
21 7 4104
21 8 4045
21 9 2700
21 10 3818
21 11 3012
21 12 2343
21 13 2112
21 14 3233
21 15 2767
21 16 2785
21 17 1641
21 18 2438
21 19 410
21 20 1091
21 21 0
21 22 1318
21 23 1496
21 24 1246
21 25 1122
21 26 2037
21 27 4330
21 28 3642
21 29 2885
21 30 3863
21 31 3051
21 32 3084
21 33 5625
21 34 7473
21 35 7799
21 36 7364
21 37 4669
21 38 7586
21 39 3275
21 40 5462
21 41 7732
21 42 6482
21 43 3884
21 44 3374
21 45 6176
21 46 1581
21 47 3023
21 48 6504
21 49 7304
21 50 4293
21 51 7908
21 52 8700
21 53 6008
21 54 2996
22 1 1667
22 2 1637
22 3 1939
22 4 3094
22 5 5799
22 6 2079
22 7 4020
22 8 3277
22 9 2543
22 10 4837
22 11 3420
22 12 2724
22 13 2277
22 14 3994
22 15 3805
22 16 3547
22 17 3180
22 18 3179
22 19 1819
22 20 1862
22 21 1318
22 22 0
22 23 845
22 24 935
22 25 521
22 26 1030
22 27 2541
22 28 1959
22 29 1266
22 30 2457
22 31 2578
22 32 1858
22 33 7331
22 34 5963
22 35 7345
22 36 7086
22 37 3317
22 38 7543
22 39 5190
22 40 6597
22 41 8832
22 42 5519
22 43 2305
22 44 4108
22 45 4630
22 46 2216
22 47 1627
22 48 5086
22 49 5371
22 50 2815
22 51 6028
22 52 6391
22 53 4278
22 54 4194
23 1 989
23 2 744
23 3 826
23 4 2335
23 5 4037
23 6 1406
23 7 3114
23 8 2639
23 9 1682
23 10 3556
23 11 2102
23 12 1700
23 13 1552
23 14 3136
23 15 2705
23 16 3271
23 17 3113
23 18 4070
23 19 1834
23 20 3301
23 21 1496
23 22 845
23 23 0
23 24 1547
23 25 1446
23 26 558
23 27 2590
23 28 2099
23 29 1176
23 30 2344
23 31 1775
23 32 1269
23 33 6218
23 34 5625
23 35 6483
23 36 5441
23 37 3510
23 38 7234
23 39 4054
23 40 6783
23 41 6903
23 42 5032
23 43 3128
23 44 4466
23 45 5233
23 46 3097
23 47 2405
23 48 4827
23 49 5398
23 50 2830
23 51 5923
23 52 6601
23 53 4534
23 54 5077
24 1 2573
24 2 2312
24 3 2401
24 4 4325
24 5 6341
24 6 2813
24 7 4550
24 8 4041
24 9 3472
24 10 5609
24 11 3747
24 12 3368
24 13 2446
24 14 4591
24 15 3989
24 16 3963
24 17 3425
24 18 3501
24 19 1171
24 20 1668
24 21 1246
24 22 935
24 23 1547
24 24 0
24 25 431
24 26 2314
24 27 3489
24 28 2702
24 29 2305
24 30 3772
24 31 2853
24 32 3038
24 33 9001
24 34 6252
24 35 9085
24 36 7866
24 37 4190
24 38 8882
24 39 4086
24 40 6907
24 41 9448
24 42 7250
24 43 2221
24 44 3437
24 45 4418
24 46 1476
24 47 1551
24 48 5844
24 49 5607
24 50 3237
24 51 5918
24 52 8127
24 53 6132
24 54 3227
25 1 2439
25 2 2012
25 3 2283
25 4 3208
25 5 5014
25 6 2961
25 7 4124
25 8 3940
25 9 3029
25 10 5402
25 11 3224
25 12 2616
25 13 2906
25 14 4343
25 15 3537
25 16 4381
25 17 2848
25 18 4318
25 19 1413
25 20 1924
25 21 1122
25 22 521
25 23 1446
25 24 431
25 25 0
25 26 1906
25 27 2668
25 28 2141
25 29 1645
25 30 2973
25 31 2542
25 32 2535
25 33 7637
25 34 6440
25 35 7327
25 36 6782
25 37 3722
25 38 9098
25 39 4583
25 40 5757
25 41 9402
25 42 5919
25 43 2675
25 44 4190
25 45 4023
25 46 1943
25 47 1602
25 48 5855
25 49 6557
25 50 3722
25 51 6231
25 52 7025
25 53 5093
25 54 3677
26 1 996
26 2 1098
26 3 1253
26 4 1933
26 5 3552
26 6 1353
26 7 3045
26 8 1870
26 9 1907
26 10 3605
26 11 2312
26 12 2128
26 13 2321
26 14 3614
26 15 3052
26 16 4169
26 17 3355
26 18 3715
26 19 2387
26 20 2882
26 21 2037
26 22 1030
26 23 558
26 24 2314
26 25 1906
26 26 0
26 27 2428
26 28 1839
26 29 786
26 30 1545
26 31 1244
26 32 745
26 33 6362
26 34 3868
26 35 6343
26 36 4878
26 37 2842
26 38 8062
26 39 4027
26 40 6811
26 41 8194
26 42 3899
26 43 3588
26 44 4825
26 45 4475
26 46 3786
26 47 3061
26 48 4387
26 49 5363
26 50 2487
26 51 5752
26 52 5557
26 53 2923
26 54 4806
27 1 3275
27 2 3239
27 3 3743
27 4 3998
27 5 4837
27 6 3588
27 7 4396
27 8 3302
27 9 4117
27 10 4777
27 11 4512
27 12 4335
27 13 3432
27 14 4832
27 15 5526
27 16 6626
27 17 6314
27 18 5868
27 19 4387
27 20 5471
27 21 4330
27 22 2541
27 23 2590
27 24 3489
27 25 2668
27 26 2428
27 27 0
27 28 541
27 29 1421
27 30 2207
27 31 1885
27 32 2481
27 33 9015
27 34 5739
27 35 8126
27 36 6866
27 37 1222
27 38 11345
27 39 7268
27 40 10037
27 41 11547
27 42 5409
27 43 3015
27 44 6127
27 45 3884
27 46 5308
27 47 2555
27 48 4623
27 49 2629
27 50 782
27 51 2494
27 52 4266
27 53 4314
27 54 5622
28 1 2978
28 2 2960
28 3 2955
28 4 3246
28 5 4989
28 6 2984
28 7 4165
28 8 3672
28 9 3878
28 10 4636
28 11 3618
28 12 3548
28 13 3601
28 14 4966
28 15 4852
28 16 5144
28 17 5408
28 18 6604
28 19 3320
28 20 3969
28 21 3642
28 22 1959
28 23 2099
28 24 2702
28 25 2141
28 26 1839
28 27 541
28 28 0
28 29 1049
28 30 1970
28 31 2254
28 32 2241
28 33 9711
28 34 6618
28 35 7805
28 36 7994
28 37 1680
28 38 9651
28 39 6955
28 40 8097
28 41 10492
28 42 5748
28 43 2404
28 44 5933
28 45 3850
28 46 3827
28 47 1820
28 48 6049
28 49 3790
28 50 1196
28 51 3262
28 52 4595
28 53 3628
28 54 5354
29 1 1918
29 2 1732
29 3 1851
29 4 2338
29 5 4394
29 6 1906
29 7 2969
29 8 2172
29 9 2681
29 10 5128
29 11 2988
29 12 2911
29 13 2685
29 14 4872
29 15 4269
29 16 4978
29 17 4103
29 18 4707
29 19 2771
29 20 3731
29 21 2885
29 22 1266
29 23 1176
29 24 2305
29 25 1645
29 26 786
29 27 1421
29 28 1049
29 29 0
29 30 1438
29 31 1271
29 32 1071
29 33 8087
29 34 4921
29 35 6526
29 36 5887
29 37 1621
29 38 8597
29 39 5183
29 40 9148
29 41 8921
29 42 4793
29 43 3283
29 44 5360
29 45 4282
29 46 4243
29 47 2089
29 48 4181
29 49 3446
29 50 1955
29 51 4373
29 52 5474
29 53 4234
29 54 5950
30 1 1941
30 2 2416
30 3 2107
30 4 1322
30 5 2507
30 6 1445
30 7 1692
30 8 1087
30 9 2195
30 10 3165
30 11 2009
30 12 2681
30 13 2580
30 14 4597
30 15 4349
30 16 4961
30 17 4490
30 18 5477
30 19 4497
30 20 5817
30 21 3863
30 22 2457
30 23 2344
30 24 3772
30 25 2973
30 26 1545
30 27 2207
30 28 1970
30 29 1438
30 30 0
30 31 389
30 32 846
30 33 5565
30 34 4111
30 35 5621
30 36 4602
30 37 2202
30 38 8551
30 39 5737
30 40 8478
30 41 7684
30 42 3826
30 43 4415
30 44 6555
30 45 6589
30 46 4727
30 47 3830
30 48 2639
30 49 3143
30 50 1900
30 51 4084
30 52 4794
30 53 2427
30 54 7438
31 1 1872
31 2 1880
31 3 1744
31 4 1616
31 5 3127
31 6 1217
31 7 1910
31 8 1335
31 9 2232
31 10 2952
31 11 2148
31 12 2473
31 13 2284
31 14 4255
31 15 3424
31 16 4340
31 17 4549
31 18 5266
31 19 3914
31 20 4039
31 21 3051
31 22 2578
31 23 1775
31 24 2853
31 25 2542
31 26 1244
31 27 1885
31 28 2254
31 29 1271
31 30 389
31 31 0
31 32 473
31 33 6316
31 34 4460
31 35 5274
31 36 4703
31 37 2095
31 38 7382
31 39 5083
31 40 10101
31 41 9367
31 42 3680
31 43 4142
31 44 6652
31 45 5202
31 46 4084
31 47 3361
31 48 3402
31 49 3242
31 50 1860
31 51 4797
31 52 5387
31 53 2281
31 54 6504
32 1 1356
32 2 1388
32 3 1447
32 4 1370
32 5 3584
32 6 949
32 7 1781
32 8 1177
32 9 1644
32 10 2879
32 11 1527
32 12 1935
32 13 2146
32 14 4001
32 15 3554
32 16 4562
32 17 4155
32 18 4193
32 19 3256
32 20 4087
32 21 3084
32 22 1858
32 23 1269
32 24 3038
32 25 2535
32 26 745
32 27 2481
32 28 2241
32 29 1071
32 30 846
32 31 473
32 32 0
32 33 5195
32 34 4568
32 35 5773
32 36 5256
32 37 2597
32 38 7632
32 39 5549
32 40 10070
32 41 8291
32 42 3605
32 43 4688
32 44 6033
32 45 5653
32 46 3876
32 47 3405
32 48 3831
32 49 3737
32 50 2060
32 51 4789
32 52 5131
32 53 2995
32 54 5817
33 1 6039
33 2 5242
33 3 5410
33 4 4149
33 5 3237
33 6 5287
33 7 3470
33 8 4328
33 9 4592
33 10 2705
33 11 3961
33 12 4570
33 13 4711
33 14 3335
33 15 4143
33 16 5897
33 17 5693
33 18 5802
33 19 6699
33 20 6498
33 21 5625
33 22 7331
33 23 6218
33 24 9001
33 25 7637
33 26 6362
33 27 9015
33 28 9711
33 29 8087
33 30 5565
33 31 6316
33 32 5195
33 33 0
33 34 2637
33 35 3467
33 36 1893
33 37 7176
33 38 5876
33 39 7383
33 40 10324
33 41 4084
33 42 3309
33 43 12169
33 44 9893
33 45 10105
33 46 8432
33 47 9795
33 48 5280
33 49 8531
33 50 7063
33 51 11955
33 52 9569
33 53 4641
33 54 9120
34 1 4120
34 2 4705
34 3 4380
34 4 2576
34 5 1377
34 6 3678
34 7 2129
34 8 2823
34 9 3248
34 10 1848
34 11 3150
34 12 4306
34 13 4527
34 14 3232
34 15 4406
34 16 5945
34 17 5828
34 18 7107
34 19 6402
34 20 7409
34 21 7473
34 22 5963
34 23 5625
34 24 6252
34 25 6440
34 26 3868
34 27 5739
34 28 6618
34 29 4921
34 30 4111
34 31 4460
34 32 4568
34 33 2637
34 34 0
34 35 1716
34 36 816
34 37 5756
34 38 8613
34 39 7948
34 40 10803
34 41 6404
34 42 967
34 43 7924
34 44 10717
34 45 9522
34 46 8604
34 47 8805
34 48 2869
34 49 7005
34 50 5317
34 51 7322
34 52 6505
34 53 2973
34 54 10555
35 1 5598
35 2 5939
35 3 5719
35 4 4700
35 5 2313
35 6 5127
35 7 3050
35 8 4583
35 9 4910
35 10 3566
35 11 4553
35 12 5153
35 13 5985
35 14 6006
35 15 6452
35 16 7159
35 17 7161
