scenario,parent,stage,probability,num_modifications
SCEN51,ROOT,PERIOD2,0.005,18
SCEN52,ROOT,PERIOD2,0.005,18
SCEN53,ROOT,PERIOD2,0.005,18
SCEN54,ROOT,PERIOD2,0.005,18
SCEN55,ROOT,PERIOD2,0.005,18
SCEN56,ROOT,PERIOD2,0.005,18
SCEN57,ROOT,PERIOD2,0.005,18
SCEN58,ROOT,PERIOD2,0.005,18
SCEN59,ROOT,PERIOD2,0.005,18
SCEN60,ROOT,PERIOD2,0.005,18
SCEN61,ROOT,PERIOD2,0.005,18
SCEN62,ROOT,PERIOD2,0.005,18
SCEN63,ROOT,PERIOD2,0.005,18
SCEN64,ROOT,PERIOD2,0.005,18
SCEN65,ROOT,PERIOD2,0.005,18
SCEN66,ROOT,PERIOD2,0.005,18
SCEN67,ROOT,PERIOD2,0.005,18
SCEN68,ROOT,PERIOD2,0.005,18
SCEN69,ROOT,PERIOD2,0.005,18
SCEN70,ROOT,PERIOD2,0.005,18
SCEN71,ROOT,PERIOD2,0.005,18
SCEN72,ROOT,PERIOD2,0.005,18
SCEN73,ROOT,PERIOD2,0.005,18
SCEN74,ROOT,PERIOD2,0.005,18
SCEN75,ROOT,PERIOD2,0.005,18
SCEN76,ROOT,PERIOD2,0.005,18
SCEN77,ROOT,PERIOD2,0.005,18
SCEN78,ROOT,PERIOD2,0.005,18
SCEN79,ROOT,PERIOD2,0.005,18
SCEN80,ROOT,PERIOD2,0.005,18
SCEN81,ROOT,PERIOD2,0.005,18
SCEN82,ROOT,PERIOD2,0.005,18
SCEN83,ROOT,PERIOD2,0.005,18
SCEN84,ROOT,PERIOD2,0.005,18
SCEN85,ROOT,PERIOD2,0.005,18
SCEN86,ROOT,PERIOD2,0.005,18
SCEN87,ROOT,PERIOD2,0.005,18
SCEN88,ROOT,PERIOD2,0.005,18
SCEN89,ROOT,PERIOD2,0.005,18
SCEN90,ROOT,PERIOD2,0.005,18
SCEN91,ROOT,PERIOD2,0.005,18
SCEN92,ROOT,PERIOD2,0.005,18
SCEN93,ROOT,PERIOD2,0.005,18
SCEN94,ROOT,PERIOD2,0.005,18
SCEN95,ROOT,PERIOD2,0.005,18
SCEN96,ROOT,PERIOD2,0.005,18
SCEN97,ROOT,PERIOD2,0.005,18
SCEN98,ROOT,PERIOD2,0.005,18
SCEN99,ROOT,PERIOD2,0.005,18
SCEN100,ROOT,PERIOD2,0.005,18
SCEN101,ROOT,PERIOD2,0.005,18
SCEN102,ROOT,PERIOD2,0.005,18
SCEN103,ROOT,PERIOD2,0.005,18
SCEN104,ROOT,PERIOD2,0.005,18
SCEN105,ROOT,PERIOD2,0.005,18
SCEN106,ROOT,PERIOD2,0.005,18
SCEN107,ROOT,PERIOD2,0.005,18
SCEN108,ROOT,PERIOD2,0.005,18
SCEN109,ROOT,PERIOD2,0.005,18
SCEN110,ROOT,PERIOD2,0.005,18
SCEN111,ROOT,PERIOD2,0.005,18
SCEN112,ROOT,PERIOD2,0.005,18
SCEN113,ROOT,PERIOD2,0.005,18
SCEN114,ROOT,PERIOD2,0.005,18
SCEN115,ROOT,PERIOD2,0.005,18
SCEN116,ROOT,PERIOD2,0.005,18
SCEN117,ROOT,PERIOD2,0.005,18
SCEN118,ROOT,PERIOD2,0.005,18
SCEN119,ROOT,PERIOD2,0.005,18
SCEN120,ROOT,PERIOD2,0.005,18
SCEN121,ROOT,PERIOD2,0.005,18
SCEN122,ROOT,PERIOD2,0.005,18
SCEN123,ROOT,PERIOD2,0.005,18
SCEN124,ROOT,PERIOD2,0.005,18
SCEN125,ROOT,PERIOD2,0.005,18
SCEN126,ROOT,PERIOD2,0.005,18
SCEN127,ROOT,PERIOD2,0.005,18
SCEN128,ROOT,PERIOD2,0.005,18
SCEN129,ROOT,PERIOD2,0.005,18
SCEN130,ROOT,PERIOD2,0.005,18
SCEN131,ROOT,PERIOD2,0.005,18
SCEN132,ROOT,PERIOD2,0.005,18
SCEN133,ROOT,PERIOD2,0.005,18
SCEN134,ROOT,PERIOD2,0.005,18
SCEN135,ROOT,PERIOD2,0.005,18
SCEN136,ROOT,PERIOD2,0.005,18
SCEN137,ROOT,PERIOD2,0.005,18
SCEN138,ROOT,PERIOD2,0.005,18
SCEN139,ROOT,PERIOD2,0.005,18
SCEN140,ROOT,PERIOD2,0.005,18
SCEN141,ROOT,PERIOD2,0.005,18
SCEN142,ROOT,PERIOD2,0.005,18
SCEN143,ROOT,PERIOD2,0.005,18
SCEN144,ROOT,PERIOD2,0.005,18
SCEN145,ROOT,PERIOD2,0.005,18
SCEN146,ROOT,PERIOD2,0.005,18
SCEN147,ROOT,PERIOD2,0.005,18
SCEN148,ROOT,PERIOD2,0.005,18
SCEN149,ROOT,PERIOD2,0.005,18
SCEN150,ROOT,PERIOD2,0.005,18
SCEN151,ROOT,PERIOD2,0.005,18
SCEN152,ROOT,PERIOD2,0.005,18
SCEN153,ROOT,PERIOD2,0.005,18
SCEN154,ROOT,PERIOD2,0.005,18
SCEN155,ROOT,PERIOD2,0.005,18
SCEN156,ROOT,PERIOD2,0.005,18
SCEN157,ROOT,PERIOD2,0.005,18
SCEN158,ROOT,PERIOD2,0.005,18
SCEN159,ROOT,PERIOD2,0.005,18
SCEN160,ROOT,PERIOD2,0.005,18
SCEN161,ROOT,PERIOD2,0.005,18
SCEN162,ROOT,PERIOD2,0.005,18
SCEN163,ROOT,PERIOD2,0.005,18
SCEN164,ROOT,PERIOD2,0.005,18
SCEN165,ROOT,PERIOD2,0.005,18
SCEN166,ROOT,PERIOD2,0.005,18
SCEN167,ROOT,PERIOD2,0.005,18
SCEN168,ROOT,PERIOD2,0.005,18
SCEN169,ROOT,PERIOD2,0.005,18
SCEN170,ROOT,PERIOD2,0.005,18
SCEN171,ROOT,PERIOD2,0.005,18
SCEN172,ROOT,PERIOD2,0.005,18
SCEN173,ROOT,PERIOD2,0.005,18
SCEN174,ROOT,PERIOD2,0.005,18
SCEN175,ROOT,PERIOD2,0.005,18
SCEN176,ROOT,PERIOD2,0.005,18
SCEN177,ROOT,PERIOD2,0.005,18
SCEN178,ROOT,PERIOD2,0.005,18
SCEN179,ROOT,PERIOD2,0.005,18
SCEN180,ROOT,PERIOD2,0.005,18
SCEN181,ROOT,PERIOD2,0.005,18
SCEN182,ROOT,PERIOD2,0.005,18
SCEN183,ROOT,PERIOD2,0.005,18
SCEN184,ROOT,PERIOD2,0.005,18
SCEN185,ROOT,PERIOD2,0.005,18
SCEN186,ROOT,PERIOD2,0.005,18
SCEN187,ROOT,PERIOD2,0.005,18
SCEN188,ROOT,PERIOD2,0.005,18
SCEN189,ROOT,PERIOD2,0.005,18
SCEN190,ROOT,PERIOD2,0.005,18
SCEN191,ROOT,PERIOD2,0.005,18
SCEN192,ROOT,PERIOD2,0.005,18
SCEN193,ROOT,PERIOD2,0.005,18
SCEN194,ROOT,PERIOD2,0.005,18
SCEN195,ROOT,PERIOD2,0.005,18
SCEN196,ROOT,PERIOD2,0.005,18
SCEN197,ROOT,PERIOD2,0.005,18
SCEN198,ROOT,PERIOD2,0.005,18
SCEN199,ROOT,PERIOD2,0.005,18
SCEN200,ROOT,PERIOD2,0.005,18
