variable,value
SCEN2.y_1_3_1,-0.0
SCEN2.y_2_3_1,1.0
SCEN2.z_3_1,0.0
SCEN2.y_1_1_2,-0.0
SCEN2.y_2_1_2,0.0
SCEN2.z_1_2,1.0
SCEN2.y_1_2_2,0.0
SCEN2.y_2_2_2,1.0
SCEN2.z_2_2,0.0
SCEN2.y_1_3_2,1.0
SCEN2.y_2_3_2,-0.0
SCEN2.z_3_2,0.0
SCEN2.y_1_1_3,1.0
SCEN2.y_2_1_3,-0.0
SCEN2.z_1_3,0.0
SCEN2.y_1_2_3,1.0
SCEN2.y_2_2_3,0.0
SCEN2.z_2_3,0.0
SCEN2.y_1_3_3,0.0
SCEN2.y_2_3_3,1.0
SCEN2.z_3_3,0.0
SCEN3.x_1_1,0.9985949999999999
SCEN3.u_1_1,1.0
SCEN3.x_2_1,1.0
SCEN3.u_2_1,1.0
SCEN3.x_1_2,1.0
SCEN3.u_1_2,1.0
SCEN3.x_2_2,0.49557000000000007
SCEN3.u_2_2,1.0
SCEN3.x_1_3,0.8430249999999999
SCEN3.u_1_3,1.0
SCEN3.x_2_3,0.0
SCEN3.u_2_3,0.0
SCEN3.y_1_1_1,0.0
SCEN3.y_2_1_1,0.0
SCEN3.z_1_1,1.0
SCEN3.y_1_2_1,-0.0
SCEN3.y_2_2_1,1.0
SCEN3.z_2_1,0.0
SCEN3.y_1_3_1,1.0
SCEN3.y_2_3_1,0.0
SCEN3.z_3_1,0.0
SCEN3.y_1_1_2,-0.0
SCEN3.y_2_1_2,1.0
SCEN3.z_1_2,0.0
SCEN3.y_1_2_2,1.0
SCEN3.y_2_2_2,0.0
SCEN3.z_2_2,0.0
SCEN3.y_1_3_2,1.0
SCEN3.y_2_3_2,-0.0
SCEN3.z_3_2,0.0
SCEN3.y_1_1_3,1.0
SCEN3.y_2_1_3,-0.0
SCEN3.z_1_3,0.0
SCEN3.y_1_2_3,1.0
SCEN3.y_2_2_3,0.0
SCEN3.z_2_3,0.0
SCEN3.y_1_3_3,-0.0
SCEN3.y_2_3_3,1.0
SCEN3.z_3_3,0.0
SCEN4.x_1_1,0.9985949999999999
SCEN4.u_1_1,1.0
SCEN4.x_2_1,1.0
SCEN4.u_2_1,1.0
SCEN4.x_1_2,1.0
SCEN4.u_1_2,1.0
SCEN4.x_2_2,0.49557000000000007
SCEN4.u_2_2,1.0
SCEN4.x_1_3,0.8430249999999999
SCEN4.u_1_3,1.0
SCEN4.x_2_3,0.0
SCEN4.u_2_3,0.0
SCEN4.y_1_1_1,1.0
SCEN4.y_2_1_1,0.0
SCEN4.z_1_1,0.0
SCEN4.y_1_2_1,0.0
SCEN4.y_2_2_1,0.0
SCEN4.z_2_1,1.0
SCEN4.y_1_3_1,-0.0
SCEN4.y_2_3_1,1.0
SCEN4.z_3_1,0.0
SCEN4.y_1_1_2,-0.0
SCEN4.y_2_1_2,1.0
SCEN4.z_1_2,0.0
SCEN4.y_1_2_2,-0.0
SCEN4.y_2_2_2,1.0
SCEN4.z_2_2,0.0
SCEN4.y_1_3_2,1.0
SCEN4.y_2_3_2,-0.0
SCEN4.z_3_2,0.0
SCEN4.y_1_1_3,1.0
SCEN4.y_2_1_3,-0.0
SCEN4.z_1_3,0.0
SCEN4.y_1_2_3,1.0
SCEN4.y_2_2_3,0.0
SCEN4.z_2_3,0.0
SCEN4.y_1_3_3,0.0
SCEN4.y_2_3_3,1.0
SCEN4.z_3_3,0.0
SCEN5.x_1_1,0.9985949999999999
SCEN5.u_1_1,1.0
SCEN5.x_2_1,1.0
SCEN5.u_2_1,1.0
SCEN5.x_1_2,1.0
SCEN5.u_1_2,1.0
SCEN5.x_2_2,0.49557000000000007
SCEN5.u_2_2,1.0
SCEN5.x_1_3,0.8430249999999999
SCEN5.u_1_3,1.0
SCEN5.x_2_3,0.0
SCEN5.u_2_3,0.0
SCEN5.y_1_1_1,1.0
SCEN5.y_2_1_1,0.0
SCEN5.z_1_1,0.0
SCEN5.y_1_2_1,-0.0
SCEN5.y_2_2_1,1.0
SCEN5.z_2_1,0.0
SCEN5.y_1_3_1,0.0
SCEN5.y_2_3_1,0.0
SCEN5.z_3_1,1.0
SCEN5.y_1_1_2,1.0
SCEN5.y_2_1_2,-0.0
SCEN5.z_1_2,0.0
SCEN5.y_1_2_2,0.0
SCEN5.y_2_2_2,1.0
SCEN5.z_2_2,0.0
SCEN5.y_1_3_2,1.0
SCEN5.y_2_3_2,0.0
SCEN5.z_3_2,0.0
SCEN5.y_1_1_3,1.0
SCEN5.y_2_1_3,-0.0
SCEN5.z_1_3,0.0
SCEN5.y_1_2_3,-0.0
SCEN5.y_2_2_3,1.0
SCEN5.z_2_3,0.0
SCEN5.y_1_3_3,-0.0
SCEN5.y_2_3_3,1.0
SCEN5.z_3_3,0.0
SCEN6.x_1_1,0.9985949999999999
SCEN6.u_1_1,1.0
SCEN6.x_2_1,1.0
SCEN6.u_2_1,1.0
SCEN6.x_1_2,1.0
SCEN6.u_1_2,1.0
SCEN6.x_2_2,0.49557000000000007
SCEN6.u_2_2,1.0
SCEN6.x_1_3,0.8430249999999999
SCEN6.u_1_3,1.0
SCEN6.x_2_3,0.0
SCEN6.u_2_3,0.0
SCEN6.y_1_1_1,-0.0
SCEN6.y_2_1_1,1.0
SCEN6.z_1_1,0.0
SCEN6.y_1_2_1,0.0
SCEN6.y_2_2_1,0.0
SCEN6.z_2_1,1.0
SCEN6.y_1_3_1,0.0
SCEN6.y_2_3_1,0.0
SCEN6.z_3_1,1.0
SCEN6.y_1_1_2,-0.0
SCEN6.y_2_1_2,0.0
SCEN6.z_1_2,1.0
SCEN6.y_1_2_2,0.0
SCEN6.y_2_2_2,1.0
SCEN6.z_2_2,0.0
SCEN6.y_1_3_2,1.0
SCEN6.y_2_3_2,0.0
SCEN6.z_3_2,0.0
SCEN6.y_1_1_3,1.0
SCEN6.y_2_1_3,-0.0
SCEN6.z_1_3,0.0
SCEN6.y_1_2_3,1.0
SCEN6.y_2_2_3,0.0
SCEN6.z_2_3,0.0
SCEN6.y_1_3_3,0.0
SCEN6.y_2_3_3,1.0
SCEN6.z_3_3,0.0
SCEN7.x_1_1,0.9985949999999999
SCEN7.u_1_1,1.0
SCEN7.x_2_1,1.0
SCEN7.u_2_1,1.0
SCEN7.x_1_2,1.0
SCEN7.u_1_2,1.0
SCEN7.x_2_2,0.49557000000000007
SCEN7.u_2_2,1.0
SCEN7.x_1_3,0.8430249999999999
SCEN7.u_1_3,1.0
SCEN7.x_2_3,0.0
SCEN7.u_2_3,0.0
SCEN7.y_1_1_1,0.0
SCEN7.y_2_1_1,0.0
SCEN7.z_1_1,1.0
SCEN7.y_1_2_1,0.0
SCEN7.y_2_2_1,0.0
SCEN7.z_2_1,1.0
SCEN7.y_1_3_1,0.0
SCEN7.y_2_3_1,0.0
SCEN7.z_3_1,1.0
SCEN7.y_1_1_2,0.0
SCEN7.y_2_1_2,-0.0
SCEN7.z_1_2,1.0
SCEN7.y_1_2_2,0.0
SCEN7.y_2_2_2,1.0
SCEN7.z_2_2,0.0
SCEN7.y_1_3_2,1.0
SCEN7.y_2_3_2,0.0
SCEN7.z_3_2,0.0
SCEN7.y_1_1_3,1.0
SCEN7.y_2_1_3,-0.0
SCEN7.z_1_3,0.0
SCEN7.y_1_2_3,1.0
SCEN7.y_2_2_3,0.0
SCEN7.z_2_3,0.0
SCEN7.y_1_3_3,-0.0
SCEN7.y_2_3_3,1.0
SCEN7.z_3_3,0.0
SCEN8.x_1_1,0.9985949999999999
SCEN8.u_1_1,1.0
SCEN8.x_2_1,1.0
SCEN8.u_2_1,1.0
SCEN8.x_1_2,1.0
SCEN8.u_1_2,1.0
SCEN8.x_2_2,0.49557000000000007
SCEN8.u_2_2,1.0
SCEN8.x_1_3,0.8430249999999999
SCEN8.u_1_3,1.0
SCEN8.x_2_3,0.0
SCEN8.u_2_3,0.0
SCEN8.y_1_1_1,1.0
SCEN8.y_2_1_1,0.0
SCEN8.z_1_1,0.0
SCEN8.y_1_2_1,-0.0
SCEN8.y_2_2_1,1.0
SCEN8.z_2_1,0.0
SCEN8.y_1_3_1,0.0
SCEN8.y_2_3_1,0.0
SCEN8.z_3_1,1.0
SCEN8.y_1_1_2,1.0
SCEN8.y_2_1_2,-0.0
SCEN8.z_1_2,0.0
SCEN8.y_1_2_2,0.0
SCEN8.y_2_2_2,1.0
SCEN8.z_2_2,0.0
SCEN8.y_1_3_2,1.0
SCEN8.y_2_3_2,0.0
SCEN8.z_3_2,0.0
SCEN8.y_1_1_3,1.0
SCEN8.y_2_1_3,-0.0
SCEN8.z_1_3,0.0
SCEN8.y_1_2_3,1.0
SCEN8.y_2_2_3,0.0
SCEN8.z_2_3,0.0
SCEN8.y_1_3_3,-0.0
SCEN8.y_2_3_3,1.0
SCEN8.z_3_3,0.0
SCEN9.x_1_1,0.9985949999999999
SCEN9.u_1_1,1.0
SCEN9.x_2_1,1.0
SCEN9.u_2_1,1.0
SCEN9.x_1_2,1.0
SCEN9.u_1_2,1.0
SCEN9.x_2_2,0.49557000000000007
SCEN9.u_2_2,1.0
SCEN9.x_1_3,0.8430249999999999
SCEN9.u_1_3,1.0
SCEN9.x_2_3,0.0
SCEN9.u_2_3,0.0
SCEN9.y_1_1_1,0.0
SCEN9.y_2_1_1,0.0
SCEN9.z_1_1,1.0
SCEN9.y_1_2_1,0.0
SCEN9.y_2_2_1,1.0
SCEN9.z_2_1,0.0
SCEN9.y_1_3_1,1.0
SCEN9.y_2_3_1,0.0
SCEN9.z_3_1,0.0
SCEN9.y_1_1_2,-0.0
SCEN9.y_2_1_2,1.0
SCEN9.z_1_2,0.0
SCEN9.y_1_2_2,1.0
SCEN9.y_2_2_2,0.0
SCEN9.z_2_2,0.0
SCEN9.y_1_3_2,1.0
SCEN9.y_2_3_2,-0.0
SCEN9.z_3_2,0.0
SCEN9.y_1_1_3,1.0
SCEN9.y_2_1_3,-0.0
SCEN9.z_1_3,0.0
SCEN9.y_1_2_3,1.0
SCEN9.y_2_2_3,0.0
SCEN9.z_2_3,0.0
SCEN9.y_1_3_3,-0.0
SCEN9.y_2_3_3,1.0
SCEN9.z_3_3,0.0
SCEN10.x_1_1,0.9985949999999999
SCEN10.u_1_1,1.0
SCEN10.x_2_1,1.0
SCEN10.u_2_1,1.0
SCEN10.x_1_2,1.0
SCEN10.u_1_2,1.0
SCEN10.x_2_2,0.49557000000000007
SCEN10.u_2_2,1.0
SCEN10.x_1_3,0.8430249999999999
SCEN10.u_1_3,1.0
SCEN10.x_2_3,0.0
SCEN10.u_2_3,0.0
SCEN10.y_1_1_1,-0.0
SCEN10.y_2_1_1,1.0
SCEN10.z_1_1,0.0
SCEN10.y_1_2_1,0.0
SCEN10.y_2_2_1,0.0
SCEN10.z_2_1,1.0
SCEN10.y_1_3_1,0.0
SCEN10.y_2_3_1,0.0
SCEN10.z_3_1,1.0
SCEN10.y_1_1_2,-0.0
SCEN10.y_2_1_2,1.0
SCEN10.z_1_2,0.0
SCEN10.y_1_2_2,1.0
SCEN10.y_2_2_2,0.0
SCEN10.z_2_2,0.0
SCEN10.y_1_3_2,1.0
SCEN10.y_2_3_2,-0.0
SCEN10.z_3_2,0.0
SCEN10.y_1_1_3,1.0
SCEN10.y_2_1_3,-0.0
SCEN10.z_1_3,0.0
SCEN10.y_1_2_3,1.0
SCEN10.y_2_2_3,0.0
SCEN10.z_2_3,0.0
SCEN10.y_1_3_3,0.0
SCEN10.y_2_3_3,1.0
SCEN10.z_3_3,0.0
SCEN11.x_1_1,0.9985949999999999
SCEN11.u_1_1,1.0
SCEN11.x_2_1,1.0
SCEN11.u_2_1,1.0
SCEN11.x_1_2,1.0
SCEN11.u_1_2,1.0
SCEN11.x_2_2,0.49557000000000007
SCEN11.u_2_2,1.0
SCEN11.x_1_3,0.8430249999999999
SCEN11.u_1_3,1.0
SCEN11.x_2_3,0.0
SCEN11.u_2_3,0.0
SCEN11.y_1_1_1,0.0
SCEN11.y_2_1_1,0.0
SCEN11.z_1_1,1.0
SCEN11.y_1_2_1,0.0
SCEN11.y_2_2_1,0.0
SCEN11.z_2_1,1.0
SCEN11.y_1_3_1,0.0
SCEN11.y_2_3_1,0.0
SCEN11.z_3_1,1.0
SCEN11.y_1_1_2,0.0
SCEN11.y_2_1_2,-0.0
SCEN11.z_1_2,1.0
SCEN11.y_1_2_2,0.0
SCEN11.y_2_2_2,1.0
SCEN11.z_2_2,0.0
SCEN11.y_1_3_2,1.0
SCEN11.y_2_3_2,0.0
SCEN11.z_3_2,0.0
SCEN11.y_1_1_3,1.0
SCEN11.y_2_1_3,0.0
SCEN11.z_1_3,0.0
SCEN11.y_1_2_3,1.0
SCEN11.y_2_2_3,0.0
SCEN11.z_2_3,0.0
SCEN11.y_1_3_3,0.0
SCEN11.y_2_3_3,1.0
SCEN11.z_3_3,0.0
SCEN12.x_1_1,0.9985949999999999
SCEN12.u_1_1,1.0
SCEN12.x_2_1,1.0
SCEN12.u_2_1,1.0
SCEN12.x_1_2,1.0
SCEN12.u_1_2,1.0
SCEN12.x_2_2,0.49557000000000007
SCEN12.u_2_2,1.0
SCEN12.x_1_3,0.8430249999999999
SCEN12.u_1_3,1.0
SCEN12.x_2_3,0.0
SCEN12.u_2_3,0.0
SCEN12.y_1_1_1,0.0
SCEN12.y_2_1_1,0.0
SCEN12.z_1_1,1.0
SCEN12.y_1_2_1,0.0
SCEN12.y_2_2_1,0.0
SCEN12.z_2_1,1.0
SCEN12.y_1_3_1,0.0
SCEN12.y_2_3_1,0.0
SCEN12.z_3_1,1.0
SCEN12.y_1_1_2,-0.0
SCEN12.y_2_1_2,1.0
SCEN12.z_1_2,0.0
SCEN12.y_1_2_2,1.0
SCEN12.y_2_2_2,0.0
SCEN12.z_2_2,0.0
SCEN12.y_1_3_2,1.0
SCEN12.y_2_3_2,-0.0
SCEN12.z_3_2,0.0
SCEN12.y_1_1_3,1.0
SCEN12.y_2_1_3,-0.0
SCEN12.z_1_3,0.0
SCEN12.y_1_2_3,1.0
SCEN12.y_2_2_3,0.0
SCEN12.z_2_3,0.0
SCEN12.y_1_3_3,0.0
SCEN12.y_2_3_3,1.0
SCEN12.z_3_3,0.0
SCEN13.x_1_1,0.9985949999999999
SCEN13.u_1_1,1.0
SCEN13.x_2_1,1.0
SCEN13.u_2_1,1.0
SCEN13.x_1_2,1.0
SCEN13.u_1_2,1.0
SCEN13.x_2_2,0.49557000000000007
SCEN13.u_2_2,1.0
SCEN13.x_1_3,0.8430249999999999
SCEN13.u_1_3,1.0
SCEN13.x_2_3,0.0
SCEN13.u_2_3,0.0
SCEN13.y_1_1_1,0.0
SCEN13.y_2_1_1,0.0
SCEN13.z_1_1,1.0
SCEN13.y_1_2_1,0.0
SCEN13.y_2_2_1,0.0
SCEN13.z_2_1,1.0
SCEN13.y_1_3_1,-0.0
SCEN13.y_2_3_1,1.0
SCEN13.z_3_1,0.0
SCEN13.y_1_1_2,-0.0
SCEN13.y_2_1_2,0.0
SCEN13.z_1_2,1.0
SCEN13.y_1_2_2,0.0
SCEN13.y_2_2_2,1.0
SCEN13.z_2_2,0.0
SCEN13.y_1_3_2,1.0
SCEN13.y_2_3_2,-0.0
SCEN13.z_3_2,0.0
SCEN13.y_1_1_3,1.0
SCEN13.y_2_1_3,-0.0
SCEN13.z_1_3,0.0
SCEN13.y_1_2_3,1.0
SCEN13.y_2_2_3,0.0
SCEN13.z_2_3,0.0
SCEN13.y_1_3_3,-0.0
SCEN13.y_2_3_3,1.0
SCEN13.z_3_3,0.0
SCEN14.x_1_1,0.9985949999999999
SCEN14.u_1_1,1.0
SCEN14.x_2_1,1.0
SCEN14.u_2_1,1.0
SCEN14.x_1_2,1.0
SCEN14.u_1_2,1.0
SCEN14.x_2_2,0.49557000000000007
SCEN14.u_2_2,1.0
SCEN14.x_1_3,0.8430249999999999
SCEN14.u_1_3,1.0
SCEN14.x_2_3,0.0
SCEN14.u_2_3,0.0
SCEN14.y_1_1_1,0.0
SCEN14.y_2_1_1,0.0
SCEN14.z_1_1,1.0
SCEN14.y_1_2_1,-0.0
SCEN14.y_2_2_1,1.0
SCEN14.z_2_1,0.0
SCEN14.y_1_3_1,1.0
SCEN14.y_2_3_1,0.0
SCEN14.z_3_1,0.0
SCEN14.y_1_1_2,-0.0
SCEN14.y_2_1_2,1.0
SCEN14.z_1_2,0.0
SCEN14.y_1_2_2,1.0
SCEN14.y_2_2_2,0.0
SCEN14.z_2_2,0.0
SCEN14.y_1_3_2,1.0
SCEN14.y_2_3_2,-0.0
SCEN14.z_3_2,0.0
SCEN14.y_1_1_3,-0.0
SCEN14.y_2_1_3,1.0
SCEN14.z_1_3,0.0
SCEN14.y_1_2_3,1.0
SCEN14.y_2_2_3,0.0
SCEN14.z_2_3,0.0
SCEN14.y_1_3_3,1.0
SCEN14.y_2_3_3,0.0
SCEN14.z_3_3,0.0
SCEN15.x_1_1,0.9985949999999999
SCEN15.u_1_1,1.0
SCEN15.x_2_1,1.0
SCEN15.u_2_1,1.0
SCEN15.x_1_2,1.0
SCEN15.u_1_2,1.0
SCEN15.x_2_2,0.49557000000000007
SCEN15.u_2_2,1.0
SCEN15.x_1_3,0.8430249999999999
SCEN15.u_1_3,1.0
SCEN15.x_2_3,0.0
SCEN15.u_2_3,0.0
SCEN15.y_1_1_1,0.0
SCEN15.y_2_1_1,0.0
SCEN15.z_1_1,1.0
SCEN15.y_1_2_1,0.0
SCEN15.y_2_2_1,0.0
SCEN15.z_2_1,1.0
SCEN15.y_1_3_1,-0.0
SCEN15.y_2_3_1,1.0
SCEN15.z_3_1,0.0
SCEN15.y_1_1_2,0.0
SCEN15.y_2_1_2,-0.0
SCEN15.z_1_2,1.0
SCEN15.y_1_2_2,0.0
SCEN15.y_2_2_2,1.0
SCEN15.z_2_2,0.0
SCEN15.y_1_3_2,1.0
SCEN15.y_2_3_2,0.0
SCEN15.z_3_2,0.0
SCEN15.y_1_1_3,1.0
SCEN15.y_2_1_3,-0.0
SCEN15.z_1_3,0.0
SCEN15.y_1_2_3,1.0
SCEN15.y_2_2_3,0.0
SCEN15.z_2_3,0.0
SCEN15.y_1_3_3,-0.0
SCEN15.y_2_3_3,1.0
SCEN15.z_3_3,0.0
SCEN16.x_1_1,0.9985949999999999
SCEN16.u_1_1,1.0
SCEN16.x_2_1,1.0
SCEN16.u_2_1,1.0
SCEN16.x_1_2,1.0
SCEN16.u_1_2,1.0
SCEN16.x_2_2,0.49557000000000007
SCEN16.u_2_2,1.0
SCEN16.x_1_3,0.8430249999999999
SCEN16.u_1_3,1.0
SCEN16.x_2_3,0.0
SCEN16.u_2_3,0.0
SCEN16.y_1_1_1,1.0
SCEN16.y_2_1_1,0.0
SCEN16.z_1_1,0.0
SCEN16.y_1_2_1,-0.0
SCEN16.y_2_2_1,1.0
SCEN16.z_2_1,0.0
SCEN16.y_1_3_1,0.0
SCEN16.y_2_3_1,0.0
SCEN16.z_3_1,1.0
SCEN16.y_1_1_2,-0.0
SCEN16.y_2_1_2,1.0
SCEN16.z_1_2,0.0
SCEN16.y_1_2_2,-0.0
SCEN16.y_2_2_2,1.0
SCEN16.z_2_2,0.0
SCEN16.y_1_3_2,1.0
SCEN16.y_2_3_2,-0.0
SCEN16.z_3_2,0.0
SCEN16.y_1_1_3,1.0
SCEN16.y_2_1_3,-0.0
SCEN16.z_1_3,0.0
SCEN16.y_1_2_3,1.0
SCEN16.y_2_2_3,0.0
SCEN16.z_2_3,0.0
SCEN16.y_1_3_3,0.0
SCEN16.y_2_3_3,1.0
SCEN16.z_3_3,0.0
SCEN17.x_1_1,0.9985949999999999
SCEN17.u_1_1,1.0
SCEN17.x_2_1,1.0
SCEN17.u_2_1,1.0
SCEN17.x_1_2,1.0
SCEN17.u_1_2,1.0
SCEN17.x_2_2,0.49557000000000007
SCEN17.u_2_2,1.0
SCEN17.x_1_3,0.8430249999999999
SCEN17.u_1_3,1.0
SCEN17.x_2_3,0.0
SCEN17.u_2_3,0.0
SCEN17.y_1_1_1,0.0
SCEN17.y_2_1_1,0.0
SCEN17.z_1_1,1.0
SCEN17.y_1_2_1,0.0
SCEN17.y_2_2_1,0.0
SCEN17.z_2_1,1.0
SCEN17.y_1_3_1,0.0
SCEN17.y_2_3_1,0.0
SCEN17.z_3_1,1.0
SCEN17.y_1_1_2,-0.0
SCEN17.y_2_1_2,1.0
SCEN17.z_1_2,0.0
SCEN17.y_1_2_2,1.0
SCEN17.y_2_2_2,0.0
SCEN17.z_2_2,0.0
SCEN17.y_1_3_2,1.0
SCEN17.y_2_3_2,-0.0
SCEN17.z_3_2,0.0
SCEN17.y_1_1_3,1.0
SCEN17.y_2_1_3,-0.0
SCEN17.z_1_3,0.0
SCEN17.y_1_2_3,1.0
SCEN17.y_2_2_3,0.0
SCEN17.z_2_3,0.0
SCEN17.y_1_3_3,-0.0
SCEN17.y_2_3_3,1.0
SCEN17.z_3_3,0.0
SCEN18.x_1_1,0.9985949999999999
SCEN18.u_1_1,1.0
SCEN18.x_2_1,1.0
SCEN18.u_2_1,1.0
SCEN18.x_1_2,1.0
SCEN18.u_1_2,1.0
SCEN18.x_2_2,0.49557000000000007
SCEN18.u_2_2,1.0
SCEN18.x_1_3,0.8430249999999999
SCEN18.u_1_3,1.0
SCEN18.x_2_3,0.0
SCEN18.u_2_3,0.0
SCEN18.y_1_1_1,0.0
SCEN18.y_2_1_1,0.0
SCEN18.z_1_1,1.0
SCEN18.y_1_2_1,0.0
SCEN18.y_2_2_1,0.0
SCEN18.z_2_1,1.0
SCEN18.y_1_3_1,0.0
SCEN18.y_2_3_1,0.0
SCEN18.z_3_1,1.0
SCEN18.y_1_1_2,0.0
SCEN18.y_2_1_2,-0.0
SCEN18.z_1_2,1.0
SCEN18.y_1_2_2,-0.0
SCEN18.y_2_2_2,1.0
SCEN18.z_2_2,0.0
SCEN18.y_1_3_2,1.0
SCEN18.y_2_3_2,0.0
SCEN18.z_3_2,0.0
SCEN18.y_1_1_3,1.0
SCEN18.y_2_1_3,-0.0
SCEN18.z_1_3,0.0
SCEN18.y_1_2_3,1.0
SCEN18.y_2_2_3,0.0
SCEN18.z_2_3,0.0
SCEN18.y_1_3_3,0.0
SCEN18.y_2_3_3,1.0
SCEN18.z_3_3,0.0
SCEN19.x_1_1,0.9985949999999999
SCEN19.u_1_1,1.0
SCEN19.x_2_1,1.0
SCEN19.u_2_1,1.0
SCEN19.x_1_2,1.0
SCEN19.u_1_2,1.0
SCEN19.x_2_2,0.49557000000000007
SCEN19.u_2_2,1.0
SCEN19.x_1_3,0.8430249999999999
SCEN19.u_1_3,1.0
SCEN19.x_2_3,0.0
SCEN19.u_2_3,0.0
SCEN19.y_1_1_1,1.0
SCEN19.y_2_1_1,0.0
SCEN19.z_1_1,0.0
SCEN19.y_1_2_1,0.0
SCEN19.y_2_2_1,0.0
SCEN19.z_2_1,1.0
SCEN19.y_1_3_1,0.0
SCEN19.y_2_3_1,1.0
SCEN19.z_3_1,0.0
SCEN19.y_1_1_2,-0.0
SCEN19.y_2_1_2,1.0
SCEN19.z_1_2,0.0
SCEN19.y_1_2_2,1.0
SCEN19.y_2_2_2,0.0
SCEN19.z_2_2,0.0
SCEN19.y_1_3_2,1.0
SCEN19.y_2_3_2,0.0
SCEN19.z_3_2,0.0
SCEN19.y_1_1_3,1.0
SCEN19.y_2_1_3,-0.0
SCEN19.z_1_3,0.0
SCEN19.y_1_2_3,1.0
SCEN19.y_2_2_3,0.0
SCEN19.z_2_3,0.0
SCEN19.y_1_3_3,0.0
SCEN19.y_2_3_3,1.0
SCEN19.z_3_3,0.0
SCEN20.x_1_1,0.9985949999999999
SCEN20.u_1_1,1.0
SCEN20.x_2_1,1.0
SCEN20.u_2_1,1.0
SCEN20.x_1_2,1.0
SCEN20.u_1_2,1.0
SCEN20.x_2_2,0.49557000000000007
SCEN20.u_2_2,1.0
SCEN20.x_1_3,0.8430249999999999
SCEN20.u_1_3,1.0
SCEN20.x_2_3,0.0
SCEN20.u_2_3,0.0
SCEN20.y_1_1_1,1.0
SCEN20.y_2_1_1,0.0
SCEN20.z_1_1,0.0
SCEN20.y_1_2_1,-0.0
SCEN20.y_2_2_1,1.0
SCEN20.z_2_1,0.0
SCEN20.y_1_3_1,0.0
SCEN20.y_2_3_1,0.0
SCEN20.z_3_1,1.0
SCEN20.y_1_1_2,1.0
SCEN20.y_2_1_2,0.0
SCEN20.z_1_2,0.0
SCEN20.y_1_2_2,0.0
SCEN20.y_2_2_2,1.0
SCEN20.z_2_2,0.0
SCEN20.y_1_3_2,1.0
SCEN20.y_2_3_2,0.0
SCEN20.z_3_2,0.0
SCEN20.y_1_1_3,1.0
SCEN20.y_2_1_3,-0.0
SCEN20.z_1_3,0.0
SCEN20.y_1_2_3,1.0
SCEN20.y_2_2_3,0.0
SCEN20.z_2_3,0.0
SCEN20.y_1_3_3,-0.0
SCEN20.y_2_3_3,1.0
SCEN20.z_3_3,0.0
SCEN21.x_1_1,0.9985949999999999
SCEN21.u_1_1,1.0
SCEN21.x_2_1,1.0
SCEN21.u_2_1,1.0
SCEN21.x_1_2,1.0
SCEN21.u_1_2,1.0
SCEN21.x_2_2,0.49557000000000007
SCEN21.u_2_2,1.0
SCEN21.x_1_3,0.8430249999999999
SCEN21.u_1_3,1.0
SCEN21.x_2_3,0.0
SCEN21.u_2_3,0.0
SCEN21.y_1_1_1,0.0
SCEN21.y_2_1_1,0.0
SCEN21.z_1_1,1.0
SCEN21.y_1_2_1,-0.0
SCEN21.y_2_2_1,1.0
SCEN21.z_2_1,0.0
SCEN21.y_1_3_1,0.0
SCEN21.y_2_3_1,0.0
SCEN21.z_3_1,1.0
SCEN21.y_1_1_2,1.0
SCEN21.y_2_1_2,-0.0
