constraint_name,in_IIS,sense,rhs
rec_s67_edge_40_37_choose_one,1,=,1.0
rec_s67_edge_41_4_choose_one,1,=,1.0
rec_s67_edge_42_44_choose_one,1,=,1.0
rec_s67_edge_43_19_choose_one,1,=,1.0
rec_s67_edge_44_50_choose_one,1,=,1.0
rec_s67_edge_45_18_choose_one,1,=,1.0
rec_s67_edge_46_42_choose_one,1,=,1.0
rec_s67_edge_47_41_choose_one,1,=,1.0
rec_s67_edge_48_51_choose_one,1,=,1.0
rec_s67_edge_49_26_choose_one,0,=,1.0
rec_s67_edge_50_48_choose_one,1,=,1.0
rec_s67_edge_51_36_choose_one,1,=,1.0
rec_s67_edge_52_47_choose_one,1,=,1.0
rec_s67_edge_53_43_choose_one,1,=,1.0
rec_s80_edge_0_2_choose_one,1,=,1.0
rec_s80_edge_1_22_choose_one,1,=,1.0
rec_s80_edge_2_1_choose_one,1,=,1.0
rec_s80_edge_3_9_choose_one,1,=,1.0
rec_s80_edge_4_34_choose_one,1,=,1.0
rec_s80_edge_5_0_choose_one,1,=,1.0
rec_s80_edge_6_52_choose_one,1,=,1.0
rec_s80_edge_7_3_choose_one,1,=,1.0
rec_s80_edge_8_10_choose_one,1,=,1.0
rec_s80_edge_9_6_choose_one,1,=,1.0
rec_s80_edge_10_5_choose_one,1,=,1.0
rec_s80_edge_11_8_choose_one,1,=,1.0
rec_s80_edge_12_11_choose_one,1,=,1.0
rec_s80_edge_13_14_choose_one,1,=,1.0
rec_s80_edge_14_12_choose_one,1,=,1.0
rec_s80_edge_15_13_choose_one,1,=,1.0
rec_s80_edge_16_17_choose_one,1,=,1.0
rec_s80_edge_17_38_choose_one,0,=,1.0
rec_s80_edge_18_20_choose_one,1,=,1.0
rec_s80_edge_19_45_choose_one,1,=,1.0
rec_s80_edge_20_16_choose_one,1,=,1.0
rec_s80_edge_21_24_choose_one,1,=,1.0
rec_s80_edge_22_21_choose_one,1,=,1.0
rec_s80_edge_23_46_choose_one,1,=,1.0
rec_s80_edge_24_23_choose_one,1,=,1.0
rec_s80_edge_25_31_choose_one,0,=,1.0
rec_s80_edge_26_27_choose_one,1,=,1.0
rec_s80_edge_27_28_choose_one,1,=,1.0
rec_s80_edge_28_25_choose_one,1,=,1.0
rec_s80_edge_29_7_choose_one,1,=,1.0
rec_s80_edge_30_29_choose_one,1,=,1.0
rec_s80_edge_31_30_choose_one,1,=,1.0
rec_s80_edge_32_40_choose_one,1,=,1.0
rec_s80_edge_33_35_choose_one,1,=,1.0
rec_s80_edge_34_33_choose_one,0,=,1.0
rec_s80_edge_35_32_choose_one,1,=,1.0
rec_s80_edge_36_49_choose_one,1,=,1.0
rec_s80_edge_37_39_choose_one,0,=,1.0
rec_s80_edge_38_15_choose_one,1,=,1.0
rec_s80_edge_39_53_choose_one,1,=,1.0
rec_s80_edge_40_37_choose_one,1,=,1.0
rec_s80_edge_41_4_choose_one,1,=,1.0
rec_s80_edge_42_44_choose_one,1,=,1.0
rec_s80_edge_43_19_choose_one,1,=,1.0
rec_s80_edge_44_50_choose_one,0,=,1.0
rec_s80_edge_45_18_choose_one,0,=,1.0
rec_s80_edge_46_42_choose_one,1,=,1.0
rec_s80_edge_47_41_choose_one,1,=,1.0
rec_s80_edge_48_51_choose_one,1,=,1.0
rec_s80_edge_49_26_choose_one,1,=,1.0
rec_s80_edge_50_48_choose_one,1,=,1.0
rec_s80_edge_51_36_choose_one,1,=,1.0
rec_s80_edge_52_47_choose_one,1,=,1.0
rec_s80_edge_53_43_choose_one,1,=,1.0
rec_s55_edge_0_2_choose_one,1,=,1.0
rec_s55_edge_1_22_choose_one,1,=,1.0
rec_s55_edge_2_1_choose_one,1,=,1.0
rec_s55_edge_3_9_choose_one,1,=,1.0
rec_s55_edge_4_34_choose_one,1,=,1.0
rec_s55_edge_5_0_choose_one,1,=,1.0
rec_s55_edge_6_52_choose_one,0,=,1.0
rec_s55_edge_7_3_choose_one,0,=,1.0
rec_s55_edge_8_10_choose_one,1,=,1.0
rec_s55_edge_9_6_choose_one,1,=,1.0
rec_s55_edge_10_5_choose_one,1,=,1.0
rec_s55_edge_11_8_choose_one,1,=,1.0
rec_s55_edge_12_11_choose_one,1,=,1.0
rec_s55_edge_13_14_choose_one,1,=,1.0
rec_s55_edge_14_12_choose_one,1,=,1.0
rec_s55_edge_15_13_choose_one,1,=,1.0
rec_s55_edge_16_17_choose_one,1,=,1.0
rec_s55_edge_17_38_choose_one,1,=,1.0
rec_s55_edge_18_20_choose_one,0,=,1.0
rec_s55_edge_19_45_choose_one,1,=,1.0
rec_s55_edge_20_16_choose_one,1,=,1.0
rec_s55_edge_21_24_choose_one,0,=,1.0
rec_s55_edge_22_21_choose_one,1,=,1.0
rec_s55_edge_23_46_choose_one,1,=,1.0
rec_s55_edge_24_23_choose_one,1,=,1.0
rec_s55_edge_25_31_choose_one,1,=,1.0
rec_s55_edge_26_27_choose_one,1,=,1.0
rec_s55_edge_27_28_choose_one,1,=,1.0
rec_s55_edge_28_25_choose_one,1,=,1.0
rec_s55_edge_29_7_choose_one,1,=,1.0
rec_s55_edge_30_29_choose_one,1,=,1.0
rec_s55_edge_31_30_choose_one,1,=,1.0
rec_s55_edge_32_40_choose_one,0,=,1.0
rec_s55_edge_33_35_choose_one,1,=,1.0
rec_s55_edge_34_33_choose_one,0,=,1.0
rec_s55_edge_35_32_choose_one,1,=,1.0
rec_s55_edge_36_49_choose_one,0,=,1.0
rec_s55_edge_37_39_choose_one,0,=,1.0
rec_s55_edge_38_15_choose_one,1,=,1.0
rec_s55_edge_39_53_choose_one,1,=,1.0
rec_s55_edge_40_37_choose_one,1,=,1.0
rec_s55_edge_41_4_choose_one,1,=,1.0
rec_s55_edge_42_44_choose_one,1,=,1.0
rec_s55_edge_43_19_choose_one,1,=,1.0
rec_s55_edge_44_50_choose_one,1,=,1.0
rec_s55_edge_45_18_choose_one,1,=,1.0
rec_s55_edge_46_42_choose_one,1,=,1.0
rec_s55_edge_47_41_choose_one,1,=,1.0
rec_s55_edge_48_51_choose_one,0,=,1.0
rec_s55_edge_49_26_choose_one,1,=,1.0
rec_s55_edge_50_48_choose_one,1,=,1.0
rec_s55_edge_51_36_choose_one,1,=,1.0
rec_s55_edge_52_47_choose_one,1,=,1.0
rec_s55_edge_53_43_choose_one,1,=,1.0
rec_s4_edge_0_2_choose_one,1,=,1.0
rec_s4_edge_1_22_choose_one,1,=,1.0
rec_s4_edge_2_1_choose_one,1,=,1.0
rec_s4_edge_3_9_choose_one,1,=,1.0
rec_s4_edge_4_34_choose_one,1,=,1.0
rec_s4_edge_5_0_choose_one,1,=,1.0
rec_s4_edge_6_52_choose_one,1,=,1.0
rec_s4_edge_7_3_choose_one,1,=,1.0
rec_s4_edge_8_10_choose_one,1,=,1.0
rec_s4_edge_9_6_choose_one,1,=,1.0
rec_s4_edge_10_5_choose_one,1,=,1.0
rec_s4_edge_11_8_choose_one,1,=,1.0
rec_s4_edge_12_11_choose_one,1,=,1.0
rec_s4_edge_13_14_choose_one,1,=,1.0
rec_s4_edge_14_12_choose_one,1,=,1.0
rec_s4_edge_15_13_choose_one,0,=,1.0
rec_s4_edge_16_17_choose_one,1,=,1.0
rec_s4_edge_17_38_choose_one,1,=,1.0
rec_s4_edge_18_20_choose_one,1,=,1.0
rec_s4_edge_19_45_choose_one,1,=,1.0
rec_s4_edge_20_16_choose_one,1,=,1.0
rec_s4_edge_21_24_choose_one,1,=,1.0
rec_s4_edge_22_21_choose_one,1,=,1.0
rec_s4_edge_23_46_choose_one,1,=,1.0
rec_s4_edge_24_23_choose_one,1,=,1.0
rec_s4_edge_25_31_choose_one,1,=,1.0
rec_s4_edge_26_27_choose_one,1,=,1.0
rec_s4_edge_27_28_choose_one,1,=,1.0
rec_s4_edge_28_25_choose_one,1,=,1.0
rec_s4_edge_29_7_choose_one,1,=,1.0
rec_s4_edge_30_29_choose_one,0,=,1.0
rec_s4_edge_31_30_choose_one,1,=,1.0
rec_s4_edge_32_40_choose_one,1,=,1.0
rec_s4_edge_33_35_choose_one,1,=,1.0
rec_s4_edge_34_33_choose_one,1,=,1.0
rec_s4_edge_35_32_choose_one,1,=,1.0
rec_s4_edge_36_49_choose_one,1,=,1.0
rec_s4_edge_37_39_choose_one,1,=,1.0
rec_s4_edge_38_15_choose_one,1,=,1.0
rec_s4_edge_39_53_choose_one,1,=,1.0
rec_s4_edge_40_37_choose_one,1,=,1.0
rec_s4_edge_41_4_choose_one,1,=,1.0
rec_s4_edge_42_44_choose_one,1,=,1.0
rec_s4_edge_43_19_choose_one,0,=,1.0
rec_s4_edge_44_50_choose_one,1,=,1.0
rec_s4_edge_45_18_choose_one,1,=,1.0
rec_s4_edge_46_42_choose_one,1,=,1.0
rec_s4_edge_47_41_choose_one,0,=,1.0
rec_s4_edge_48_51_choose_one,1,=,1.0
rec_s4_edge_49_26_choose_one,1,=,1.0
rec_s4_edge_50_48_choose_one,1,=,1.0
rec_s4_edge_51_36_choose_one,1,=,1.0
rec_s4_edge_52_47_choose_one,1,=,1.0
rec_s4_edge_53_43_choose_one,1,=,1.0
rec_s5_edge_0_2_choose_one,0,=,1.0
rec_s5_edge_1_22_choose_one,1,=,1.0
rec_s5_edge_2_1_choose_one,1,=,1.0
rec_s5_edge_3_9_choose_one,1,=,1.0
rec_s5_edge_4_34_choose_one,1,=,1.0
rec_s5_edge_5_0_choose_one,1,=,1.0
rec_s5_edge_6_52_choose_one,1,=,1.0
rec_s5_edge_7_3_choose_one,1,=,1.0
rec_s5_edge_8_10_choose_one,1,=,1.0
rec_s5_edge_9_6_choose_one,1,=,1.0
rec_s5_edge_10_5_choose_one,1,=,1.0
rec_s5_edge_11_8_choose_one,1,=,1.0
rec_s5_edge_12_11_choose_one,1,=,1.0
rec_s5_edge_13_14_choose_one,0,=,1.0
rec_s5_edge_14_12_choose_one,1,=,1.0
rec_s5_edge_15_13_choose_one,1,=,1.0
rec_s5_edge_16_17_choose_one,1,=,1.0
rec_s5_edge_17_38_choose_one,0,=,1.0
rec_s5_edge_18_20_choose_one,1,=,1.0
rec_s5_edge_19_45_choose_one,0,=,1.0
rec_s5_edge_20_16_choose_one,1,=,1.0
rec_s5_edge_21_24_choose_one,1,=,1.0
rec_s5_edge_22_21_choose_one,1,=,1.0
rec_s5_edge_23_46_choose_one,1,=,1.0
rec_s5_edge_24_23_choose_one,1,=,1.0
rec_s5_edge_25_31_choose_one,1,=,1.0
rec_s5_edge_26_27_choose_one,1,=,1.0
rec_s5_edge_27_28_choose_one,1,=,1.0
rec_s5_edge_28_25_choose_one,1,=,1.0
rec_s5_edge_29_7_choose_one,0,=,1.0
rec_s5_edge_30_29_choose_one,1,=,1.0
rec_s5_edge_31_30_choose_one,1,=,1.0
rec_s5_edge_32_40_choose_one,1,=,1.0
rec_s5_edge_33_35_choose_one,1,=,1.0
rec_s5_edge_34_33_choose_one,1,=,1.0
rec_s5_edge_35_32_choose_one,1,=,1.0
rec_s5_edge_36_49_choose_one,0,=,1.0
rec_s5_edge_37_39_choose_one,1,=,1.0
rec_s5_edge_38_15_choose_one,1,=,1.0
rec_s5_edge_39_53_choose_one,1,=,1.0
rec_s5_edge_40_37_choose_one,0,=,1.0
rec_s5_edge_41_4_choose_one,1,=,1.0
rec_s5_edge_42_44_choose_one,1,=,1.0
rec_s5_edge_43_19_choose_one,1,=,1.0
rec_s5_edge_44_50_choose_one,1,=,1.0
rec_s5_edge_45_18_choose_one,1,=,1.0
rec_s5_edge_46_42_choose_one,1,=,1.0
rec_s5_edge_47_41_choose_one,1,=,1.0
rec_s5_edge_48_51_choose_one,0,=,1.0
rec_s5_edge_49_26_choose_one,1,=,1.0
rec_s5_edge_50_48_choose_one,1,=,1.0
rec_s5_edge_51_36_choose_one,1,=,1.0
rec_s5_edge_52_47_choose_one,1,=,1.0
rec_s5_edge_53_43_choose_one,0,=,1.0
rec_s62_edge_0_2_choose_one,1,=,1.0
rec_s62_edge_1_22_choose_one,1,=,1.0
rec_s62_edge_2_1_choose_one,1,=,1.0
rec_s62_edge_3_9_choose_one,1,=,1.0
rec_s62_edge_4_34_choose_one,1,=,1.0
rec_s62_edge_5_0_choose_one,0,=,1.0
rec_s62_edge_6_52_choose_one,0,=,1.0
rec_s62_edge_7_3_choose_one,1,=,1.0
rec_s62_edge_8_10_choose_one,1,=,1.0
rec_s62_edge_9_6_choose_one,0,=,1.0
rec_s62_edge_10_5_choose_one,1,=,1.0
rec_s62_edge_11_8_choose_one,1,=,1.0
rec_s62_edge_12_11_choose_one,1,=,1.0
rec_s62_edge_13_14_choose_one,0,=,1.0
rec_s62_edge_14_12_choose_one,1,=,1.0
rec_s62_edge_15_13_choose_one,1,=,1.0
rec_s62_edge_16_17_choose_one,1,=,1.0
rec_s62_edge_17_38_choose_one,0,=,1.0
rec_s62_edge_18_20_choose_one,1,=,1.0
rec_s62_edge_19_45_choose_one,1,=,1.0
rec_s62_edge_20_16_choose_one,0,=,1.0
rec_s62_edge_21_24_choose_one,1,=,1.0
rec_s62_edge_22_21_choose_one,1,=,1.0
rec_s62_edge_23_46_choose_one,0,=,1.0
rec_s62_edge_24_23_choose_one,1,=,1.0
rec_s62_edge_25_31_choose_one,0,=,1.0
rec_s62_edge_26_27_choose_one,1,=,1.0
rec_s62_edge_27_28_choose_one,1,=,1.0
rec_s62_edge_28_25_choose_one,1,=,1.0
rec_s62_edge_29_7_choose_one,1,=,1.0
rec_s62_edge_30_29_choose_one,1,=,1.0
rec_s62_edge_31_30_choose_one,1,=,1.0
rec_s62_edge_32_40_choose_one,1,=,1.0
rec_s62_edge_33_35_choose_one,1,=,1.0
rec_s62_edge_34_33_choose_one,1,=,1.0
rec_s62_edge_35_32_choose_one,1,=,1.0
rec_s62_edge_36_49_choose_one,0,=,1.0
rec_s62_edge_37_39_choose_one,1,=,1.0
rec_s62_edge_38_15_choose_one,1,=,1.0
rec_s62_edge_39_53_choose_one,1,=,1.0
rec_s62_edge_40_37_choose_one,0,=,1.0
rec_s62_edge_41_4_choose_one,1,=,1.0
rec_s62_edge_42_44_choose_one,1,=,1.0
rec_s62_edge_43_19_choose_one,1,=,1.0
rec_s62_edge_44_50_choose_one,1,=,1.0
rec_s62_edge_45_18_choose_one,1,=,1.0
rec_s62_edge_46_42_choose_one,1,=,1.0
rec_s62_edge_47_41_choose_one,1,=,1.0
rec_s62_edge_48_51_choose_one,1,=,1.0
rec_s62_edge_49_26_choose_one,1,=,1.0
rec_s62_edge_50_48_choose_one,1,=,1.0
rec_s62_edge_51_36_choose_one,1,=,1.0
rec_s62_edge_52_47_choose_one,1,=,1.0
rec_s62_edge_53_43_choose_one,1,=,1.0
rec_s78_edge_0_2_choose_one,1,=,1.0
rec_s78_edge_1_22_choose_one,1,=,1.0
rec_s78_edge_2_1_choose_one,1,=,1.0
rec_s78_edge_3_9_choose_one,1,=,1.0
rec_s78_edge_4_34_choose_one,0,=,1.0
rec_s78_edge_5_0_choose_one,1,=,1.0
rec_s78_edge_6_52_choose_one,1,=,1.0
rec_s78_edge_7_3_choose_one,1,=,1.0
rec_s78_edge_8_10_choose_one,1,=,1.0
rec_s78_edge_9_6_choose_one,0,=,1.0
rec_s78_edge_10_5_choose_one,1,=,1.0
rec_s78_edge_11_8_choose_one,1,=,1.0
rec_s78_edge_12_11_choose_one,1,=,1.0
rec_s78_edge_13_14_choose_one,1,=,1.0
rec_s78_edge_14_12_choose_one,1,=,1.0
rec_s78_edge_15_13_choose_one,1,=,1.0
rec_s78_edge_16_17_choose_one,0,=,1.0
rec_s78_edge_17_38_choose_one,1,=,1.0
rec_s78_edge_18_20_choose_one,1,=,1.0
rec_s78_edge_19_45_choose_one,1,=,1.0
rec_s78_edge_20_16_choose_one,1,=,1.0
rec_s78_edge_21_24_choose_one,1,=,1.0
rec_s78_edge_22_21_choose_one,1,=,1.0
rec_s78_edge_23_46_choose_one,1,=,1.0
rec_s78_edge_24_23_choose_one,0,=,1.0
rec_s78_edge_25_31_choose_one,1,=,1.0
rec_s78_edge_26_27_choose_one,1,=,1.0
rec_s78_edge_27_28_choose_one,1,=,1.0
rec_s78_edge_28_25_choose_one,1,=,1.0
rec_s78_edge_29_7_choose_one,1,=,1.0
rec_s78_edge_30_29_choose_one,1,=,1.0
rec_s78_edge_31_30_choose_one,1,=,1.0
rec_s78_edge_32_40_choose_one,1,=,1.0
rec_s78_edge_33_35_choose_one,1,=,1.0
rec_s78_edge_34_33_choose_one,1,=,1.0
rec_s78_edge_35_32_choose_one,1,=,1.0
rec_s78_edge_36_49_choose_one,1,=,1.0
rec_s78_edge_37_39_choose_one,1,=,1.0
rec_s78_edge_38_15_choose_one,1,=,1.0
rec_s78_edge_39_53_choose_one,1,=,1.0
rec_s78_edge_40_37_choose_one,1,=,1.0
rec_s78_edge_41_4_choose_one,1,=,1.0
rec_s78_edge_42_44_choose_one,0,=,1.0
rec_s78_edge_43_19_choose_one,1,=,1.0
rec_s78_edge_44_50_choose_one,1,=,1.0
rec_s78_edge_45_18_choose_one,1,=,1.0
rec_s78_edge_46_42_choose_one,1,=,1.0
rec_s78_edge_47_41_choose_one,1,=,1.0
rec_s78_edge_48_51_choose_one,0,=,1.0
rec_s78_edge_49_26_choose_one,1,=,1.0
rec_s78_edge_50_48_choose_one,1,=,1.0
rec_s78_edge_51_36_choose_one,1,=,1.0
rec_s78_edge_52_47_choose_one,1,=,1.0
rec_s78_edge_53_43_choose_one,1,=,1.0
rec_s96_edge_0_2_choose_one,1,=,1.0
rec_s96_edge_1_22_choose_one,1,=,1.0
rec_s96_edge_2_1_choose_one,1,=,1.0
rec_s96_edge_3_9_choose_one,1,=,1.0
rec_s96_edge_4_34_choose_one,0,=,1.0
rec_s96_edge_5_0_choose_one,1,=,1.0
rec_s96_edge_6_52_choose_one,1,=,1.0
rec_s96_edge_7_3_choose_one,1,=,1.0
rec_s96_edge_8_10_choose_one,1,=,1.0
rec_s96_edge_9_6_choose_one,1,=,1.0
rec_s96_edge_10_5_choose_one,1,=,1.0
rec_s96_edge_11_8_choose_one,1,=,1.0
rec_s96_edge_12_11_choose_one,1,=,1.0
rec_s96_edge_13_14_choose_one,0,=,1.0
rec_s96_edge_14_12_choose_one,1,=,1.0
rec_s96_edge_15_13_choose_one,1,=,1.0
rec_s96_edge_16_17_choose_one,0,=,1.0
rec_s96_edge_17_38_choose_one,1,=,1.0
rec_s96_edge_18_20_choose_one,1,=,1.0
rec_s96_edge_19_45_choose_one,0,=,1.0
rec_s96_edge_20_16_choose_one,1,=,1.0
rec_s96_edge_21_24_choose_one,1,=,1.0
rec_s96_edge_22_21_choose_one,1,=,1.0
rec_s96_edge_23_46_choose_one,1,=,1.0
rec_s96_edge_24_23_choose_one,1,=,1.0
rec_s96_edge_25_31_choose_one,0,=,1.0
rec_s96_edge_26_27_choose_one,1,=,1.0
rec_s96_edge_27_28_choose_one,1,=,1.0
rec_s96_edge_28_25_choose_one,1,=,1.0
rec_s96_edge_29_7_choose_one,1,=,1.0
rec_s96_edge_30_29_choose_one,1,=,1.0
rec_s96_edge_31_30_choose_one,1,=,1.0
rec_s96_edge_32_40_choose_one,1,=,1.0
rec_s96_edge_33_35_choose_one,1,=,1.0
rec_s96_edge_34_33_choose_one,1,=,1.0
rec_s96_edge_35_32_choose_one,1,=,1.0
rec_s96_edge_36_49_choose_one,1,=,1.0
rec_s96_edge_37_39_choose_one,1,=,1.0
rec_s96_edge_38_15_choose_one,1,=,1.0
rec_s96_edge_39_53_choose_one,1,=,1.0
rec_s96_edge_40_37_choose_one,1,=,1.0
rec_s96_edge_41_4_choose_one,1,=,1.0
rec_s96_edge_42_44_choose_one,0,=,1.0
rec_s96_edge_43_19_choose_one,1,=,1.0
rec_s96_edge_44_50_choose_one,1,=,1.0
rec_s96_edge_45_18_choose_one,0,=,1.0
rec_s96_edge_46_42_choose_one,1,=,1.0
rec_s96_edge_47_41_choose_one,1,=,1.0
rec_s96_edge_48_51_choose_one,1,=,1.0
rec_s96_edge_49_26_choose_one,1,=,1.0
rec_s96_edge_50_48_choose_one,1,=,1.0
rec_s96_edge_51_36_choose_one,1,=,1.0
rec_s96_edge_52_47_choose_one,1,=,1.0
rec_s96_edge_53_43_choose_one,0,=,1.0
rec_s64_edge_0_2_choose_one,1,=,1.0
rec_s64_edge_1_22_choose_one,0,=,1.0
rec_s64_edge_2_1_choose_one,1,=,1.0
rec_s64_edge_3_9_choose_one,1,=,1.0
rec_s64_edge_4_34_choose_one,1,=,1.0
rec_s64_edge_5_0_choose_one,0,=,1.0
rec_s64_edge_6_52_choose_one,1,=,1.0
rec_s64_edge_7_3_choose_one,1,=,1.0
rec_s64_edge_8_10_choose_one,1,=,1.0
rec_s64_edge_9_6_choose_one,0,=,1.0
rec_s64_edge_10_5_choose_one,1,=,1.0
rec_s64_edge_11_8_choose_one,1,=,1.0
rec_s64_edge_12_11_choose_one,1,=,1.0
rec_s64_edge_13_14_choose_one,1,=,1.0
rec_s64_edge_14_12_choose_one,0,=,1.0
rec_s64_edge_15_13_choose_one,1,=,1.0
rec_s64_edge_16_17_choose_one,1,=,1.0
rec_s64_edge_17_38_choose_one,1,=,1.0
rec_s64_edge_18_20_choose_one,1,=,1.0
rec_s64_edge_19_45_choose_one,1,=,1.0
rec_s64_edge_20_16_choose_one,1,=,1.0
rec_s64_edge_21_24_choose_one,1,=,1.0
rec_s64_edge_22_21_choose_one,1,=,1.0
rec_s64_edge_23_46_choose_one,1,=,1.0
rec_s64_edge_24_23_choose_one,1,=,1.0
rec_s64_edge_25_31_choose_one,1,=,1.0
rec_s64_edge_26_27_choose_one,1,=,1.0
rec_s64_edge_27_28_choose_one,1,=,1.0
rec_s64_edge_28_25_choose_one,1,=,1.0
rec_s64_edge_29_7_choose_one,1,=,1.0
rec_s64_edge_30_29_choose_one,1,=,1.0
rec_s64_edge_31_30_choose_one,1,=,1.0
rec_s64_edge_32_40_choose_one,0,=,1.0
rec_s64_edge_33_35_choose_one,1,=,1.0
rec_s64_edge_34_33_choose_one,1,=,1.0
rec_s64_edge_35_32_choose_one,1,=,1.0
rec_s64_edge_36_49_choose_one,0,=,1.0
rec_s64_edge_37_39_choose_one,1,=,1.0
rec_s64_edge_38_15_choose_one,1,=,1.0
rec_s64_edge_39_53_choose_one,1,=,1.0
rec_s64_edge_40_37_choose_one,1,=,1.0
rec_s64_edge_41_4_choose_one,1,=,1.0
rec_s64_edge_42_44_choose_one,1,=,1.0
rec_s64_edge_43_19_choose_one,1,=,1.0
rec_s64_edge_44_50_choose_one,1,=,1.0
rec_s64_edge_45_18_choose_one,0,=,1.0
rec_s64_edge_46_42_choose_one,1,=,1.0
rec_s64_edge_47_41_choose_one,1,=,1.0
rec_s64_edge_48_51_choose_one,1,=,1.0
rec_s64_edge_49_26_choose_one,1,=,1.0
rec_s64_edge_50_48_choose_one,1,=,1.0
rec_s64_edge_51_36_choose_one,1,=,1.0
rec_s64_edge_52_47_choose_one,1,=,1.0
rec_s64_edge_53_43_choose_one,1,=,1.0
rec_s20_edge_0_2_choose_one,1,=,1.0
rec_s20_edge_1_22_choose_one,1,=,1.0
rec_s20_edge_2_1_choose_one,1,=,1.0
rec_s20_edge_3_9_choose_one,1,=,1.0
rec_s20_edge_4_34_choose_one,1,=,1.0
rec_s20_edge_5_0_choose_one,0,=,1.0
rec_s20_edge_6_52_choose_one,1,=,1.0
rec_s20_edge_7_3_choose_one,1,=,1.0
rec_s20_edge_8_10_choose_one,0,=,1.0
rec_s20_edge_9_6_choose_one,1,=,1.0
rec_s20_edge_10_5_choose_one,1,=,1.0
rec_s20_edge_11_8_choose_one,1,=,1.0
rec_s20_edge_12_11_choose_one,1,=,1.0
rec_s20_edge_13_14_choose_one,1,=,1.0
rec_s20_edge_14_12_choose_one,1,=,1.0
rec_s20_edge_15_13_choose_one,1,=,1.0
rec_s20_edge_16_17_choose_one,1,=,1.0
rec_s20_edge_17_38_choose_one,1,=,1.0
rec_s20_edge_18_20_choose_one,1,=,1.0
rec_s20_edge_19_45_choose_one,1,=,1.0
rec_s20_edge_20_16_choose_one,1,=,1.0
rec_s20_edge_21_24_choose_one,1,=,1.0
rec_s20_edge_22_21_choose_one,1,=,1.0
rec_s20_edge_23_46_choose_one,0,=,1.0
rec_s20_edge_24_23_choose_one,1,=,1.0
rec_s20_edge_25_31_choose_one,1,=,1.0
rec_s20_edge_26_27_choose_one,1,=,1.0
rec_s20_edge_27_28_choose_one,1,=,1.0
rec_s20_edge_28_25_choose_one,1,=,1.0
rec_s20_edge_29_7_choose_one,1,=,1.0
rec_s20_edge_30_29_choose_one,1,=,1.0
rec_s20_edge_31_30_choose_one,1,=,1.0
rec_s20_edge_32_40_choose_one,0,=,1.0
rec_s20_edge_33_35_choose_one,1,=,1.0
rec_s20_edge_34_33_choose_one,0,=,1.0
rec_s20_edge_35_32_choose_one,1,=,1.0
rec_s20_edge_36_49_choose_one,1,=,1.0
rec_s20_edge_37_39_choose_one,1,=,1.0
rec_s20_edge_38_15_choose_one,1,=,1.0
rec_s20_edge_39_53_choose_one,1,=,1.0
rec_s20_edge_40_37_choose_one,1,=,1.0
rec_s20_edge_41_4_choose_one,1,=,1.0
rec_s20_edge_42_44_choose_one,1,=,1.0
rec_s20_edge_43_19_choose_one,1,=,1.0
rec_s20_edge_44_50_choose_one,0,=,1.0
rec_s20_edge_45_18_choose_one,1,=,1.0
rec_s20_edge_46_42_choose_one,1,=,1.0
rec_s20_edge_47_41_choose_one,1,=,1.0
rec_s20_edge_48_51_choose_one,0,=,1.0
rec_s20_edge_49_26_choose_one,1,=,1.0
rec_s20_edge_50_48_choose_one,1,=,1.0
