scenario,probability,Q_raw_x_star,Q_weighted_x_star,realized_cost_x_star,Q_raw_x_EV,Q_weighted_x_EV,realized_cost_x_EV
27,0.01,-51110.0,-511.1,23100.0,-51554.0,-515.54,22101.0
28,0.01,-51481.0,-514.8100000000001,22729.0,-47840.0,-478.40000000000003,25815.0
29,0.01,-49892.0,-498.92,24318.0,-50246.0,-502.46000000000004,23409.0
30,0.01,-50989.0,-509.89,23221.0,-49354.0,-493.54,24301.0
31,0.01,-50730.0,-507.3,23480.0,-47964.0,-479.64,25691.0
32,0.01,-51677.0,-516.77,22533.0,-51070.0,-510.7,22585.0
33,0.01,-47587.0,-475.87,26623.0,-44157.0,-441.57,29498.0
34,0.01,-47983.0,-479.83,26227.0,-47180.0,-471.8,26475.0
35,0.01,-51530.0,-515.3,22680.0,-48232.0,-482.32,25423.0
36,0.01,-51476.0,-514.76,22734.0,-48526.0,-485.26,25129.0
37,0.01,-51278.0,-512.78,22932.0,-50564.0,-505.64,23091.0
38,0.01,-48292.0,-482.92,25918.0,-47723.0,-477.23,25932.0
39,0.01,-51619.0,-516.19,22591.0,-51846.0,-518.46,21809.0
40,0.01,-46980.0,-469.8,27230.0,-51564.0,-515.64,22091.0
41,0.01,-47931.0,-479.31,26279.0,-46503.0,-465.03000000000003,27152.0
42,0.01,-44533.0,-445.33,29677.0,-46603.0,-466.03000000000003,27052.0
43,0.01,-54028.0,-540.28,20182.0,-50155.0,-501.55,23500.0
44,0.01,-52545.0,-525.45,21665.0,-51786.0,-517.86,21869.0
45,0.01,-48087.0,-480.87,26123.0,-46945.0,-469.45,26710.0
46,0.01,-52471.0,-524.71,21739.0,-53279.0,-532.79,20376.0
47,0.01,-47601.0,-476.01,26609.0,-46797.0,-467.97,26858.0
48,0.01,-52285.0,-522.85,21925.0,-53190.0,-531.9,20465.0
49,0.01,-50084.0,-500.84000000000003,24126.0,-52852.0,-528.52,20803.0
50,0.01,-50238.0,-502.38,23972.0,-50074.0,-500.74,23581.0
51,0.01,-49892.0,-498.92,24318.0,-45433.0,-454.33,28222.0
52,0.01,-53675.0,-536.75,20535.0,-53032.0,-530.32,20623.0
53,0.01,-49819.0,-498.19,24391.0,-51052.0,-510.52000000000004,22603.0
54,0.01,-50421.0,-504.21000000000004,23789.0,-50450.0,-504.5,23205.0
55,0.01,-54334.0,-543.34,19876.0,-48392.0,-483.92,25263.0
56,0.01,-51304.0,-513.04,22906.0,-49534.0,-495.34000000000003,24121.0
57,0.01,-52068.0,-520.6800000000001,22142.0,-51594.0,-515.94,22061.0
58,0.01,-50163.0,-501.63,24047.0,-48210.0,-482.1,25445.0
59,0.01,-54169.0,-541.69,20041.0,-53180.0,-531.8,20475.0
60,0.01,-50114.0,-501.14,24096.0,-49324.0,-493.24,24331.0
61,0.01,-49583.0,-495.83,24627.0,-45254.0,-452.54,28401.0
62,0.01,-53396.0,-533.96,20814.0,-48001.0,-480.01,25654.0
63,0.01,-55994.0,-559.94,18216.0,-51859.0,-518.59,21796.0
64,0.01,-53134.0,-531.34,21076.0,-48551.0,-485.51,25104.0
65,0.01,-48711.0,-487.11,25499.0,-49811.0,-498.11,23844.0
66,0.01,-50580.0,-505.8,23630.0,-49909.0,-499.09000000000003,23746.0
67,0.01,-53521.0,-535.21,20689.0,-44036.0,-440.36,29619.0
68,0.01,-55112.0,-551.12,19098.0,-53028.0,-530.28,20627.0
69,0.01,-52623.0,-526.23,21587.0,-51441.0,-514.41,22214.0
70,0.01,-48788.0,-487.88,25422.0,-45746.0,-457.46000000000004,27909.0
71,0.01,-52021.0,-520.21,22189.0,-51613.0,-516.13,22042.0
72,0.01,-53457.0,-534.57,20753.0,-49591.0,-495.91,24064.0
73,0.01,-51866.0,-518.66,22344.0,-49474.0,-494.74,24181.0
74,0.01,-47783.0,-477.83,26427.0,-45375.0,-453.75,28280.0
75,0.01,-55970.0,-559.7,18240.0,-55642.0,-556.42,18013.0
76,0.01,-47422.0,-474.22,26788.0,-45463.0,-454.63,28192.0
77,0.01,-49312.0,-493.12,24898.0,-48790.0,-487.90000000000003,24865.0
78,0.01,-49359.0,-493.59000000000003,24851.0,-44390.0,-443.90000000000003,29265.0
79,0.01,-52945.0,-529.45,21265.0,-52217.0,-522.17,21438.0
80,0.01,-45874.0,-458.74,28336.0,-38838.0,-388.38,34817.0
81,0.01,-50154.0,-501.54,24056.0,-45851.0,-458.51,27804.0
82,0.01,-47480.0,-474.8,26730.0,-44667.0,-446.67,28988.0
83,0.01,-54388.0,-543.88,19822.0,-52640.0,-526.4,21015.0
84,0.01,-48881.0,-488.81,25329.0,-45681.0,-456.81,27974.0
85,0.01,-45296.0,-452.96000000000004,28914.0,-42759.0,-427.59000000000003,30896.0
86,0.01,-48838.0,-488.38,25372.0,-49444.0,-494.44,24211.0
87,0.01,-48571.0,-485.71000000000004,25639.0,-47583.0,-475.83,26072.0
88,0.01,-51687.0,-516.87,22523.0,-51262.0,-512.62,22393.0
89,0.01,-49443.0,-494.43,24767.0,-48116.0,-481.16,25539.0
90,0.01,-51395.0,-513.95,22815.0,-48673.0,-486.73,24982.0
91,0.01,-49376.0,-493.76,24834.0,-46593.0,-465.93,27062.0
92,0.01,-50071.0,-500.71000000000004,24139.0,-48617.0,-486.17,25038.0
93,0.01,-49022.0,-490.22,25188.0,-49125.0,-491.25,24530.0
94,0.01,-46489.0,-464.89,27721.0,-49596.0,-495.96000000000004,24059.0
95,0.01,-51241.0,-512.41,22969.0,-49742.0,-497.42,23913.0
96,0.01,-50702.0,-507.02000000000004,23508.0,-45922.0,-459.22,27733.0
97,0.01,-54647.0,-546.47,19563.0,-53082.0,-530.82,20573.0
98,0.01,-48539.0,-485.39,25671.0,-49630.0,-496.3,24025.0
99,0.01,-48678.0,-486.78000000000003,25532.0,-52482.0,-524.82,21173.0
100,0.01,-51886.0,-518.86,22324.0,-50558.0,-505.58,23097.0
