scenario,probability,Q_raw_x_star,Q_raw_x_EV,delta_raw,Q_weighted_x_star,Q_weighted_x_EV,delta_weighted,label
22,0.01,-49472.0,-50029.0,-557.0,-494.72,-500.29,-5.569999999999993,good
23,0.01,-48239.0,-47987.0,252.0,-482.39,-479.87,2.519999999999982,bad
24,0.01,-54768.0,-52097.0,2671.0,-547.6800000000001,-520.97,26.710000000000036,bad
25,0.01,-52386.0,-49230.0,3156.0,-523.86,-492.3,31.560000000000002,bad
26,0.01,-48114.0,-49896.0,-1782.0,-481.14,-498.96000000000004,-17.82000000000005,good
27,0.01,-51110.0,-51554.0,-444.0,-511.1,-515.54,-4.439999999999941,good
28,0.01,-51481.0,-47840.0,3641.0,-514.8100000000001,-478.40000000000003,36.410000000000025,bad
29,0.01,-49892.0,-50246.0,-354.0,-498.92,-502.46000000000004,-3.5400000000000205,good
30,0.01,-50989.0,-49354.0,1635.0,-509.89,-493.54,16.349999999999966,bad
31,0.01,-50730.0,-47964.0,2766.0,-507.3,-479.64,27.660000000000025,bad
32,0.01,-51677.0,-51070.0,607.0,-516.77,-510.7,6.069999999999993,bad
33,0.01,-47587.0,-44157.0,3430.0,-475.87,-441.57,34.30000000000001,bad
34,0.01,-47983.0,-47180.0,803.0,-479.83,-471.8,8.029999999999973,bad
35,0.01,-51530.0,-48232.0,3298.0,-515.3,-482.32,32.97999999999996,bad
36,0.01,-51476.0,-48526.0,2950.0,-514.76,-485.26,29.5,bad
37,0.01,-51278.0,-50564.0,714.0,-512.78,-505.64,7.139999999999986,bad
38,0.01,-48292.0,-47723.0,569.0,-482.92,-477.23,5.689999999999998,bad
39,0.01,-51619.0,-51846.0,-227.0,-516.19,-518.46,-2.269999999999982,good
40,0.01,-46980.0,-51564.0,-4584.0,-469.8,-515.64,-45.839999999999975,good
41,0.01,-47931.0,-46503.0,1428.0,-479.31,-465.03000000000003,14.279999999999973,bad
42,0.01,-44533.0,-46603.0,-2070.0,-445.33,-466.03000000000003,-20.700000000000045,good
43,0.01,-54028.0,-50155.0,3873.0,-540.28,-501.55,38.72999999999996,bad
44,0.01,-52545.0,-51786.0,759.0,-525.45,-517.86,7.590000000000032,bad
45,0.01,-48087.0,-46945.0,1142.0,-480.87,-469.45,11.420000000000016,bad
46,0.01,-52471.0,-53279.0,-808.0,-524.71,-532.79,-8.079999999999927,good
47,0.01,-47601.0,-46797.0,804.0,-476.01,-467.97,8.039999999999964,bad
48,0.01,-52285.0,-53190.0,-905.0,-522.85,-531.9,-9.049999999999955,good
49,0.01,-50084.0,-52852.0,-2768.0,-500.84000000000003,-528.52,-27.67999999999995,good
50,0.01,-50238.0,-50074.0,164.0,-502.38,-500.74,1.6399999999999864,bad
51,0.01,-49892.0,-45433.0,4459.0,-498.92,-454.33,44.59000000000003,bad
52,0.01,-53675.0,-53032.0,643.0,-536.75,-530.32,6.42999999999995,bad
53,0.01,-49819.0,-51052.0,-1233.0,-498.19,-510.52000000000004,-12.330000000000041,good
54,0.01,-50421.0,-50450.0,-29.0,-504.21000000000004,-504.5,-0.2899999999999636,good
55,0.01,-54334.0,-48392.0,5942.0,-543.34,-483.92,59.420000000000016,bad
56,0.01,-51304.0,-49534.0,1770.0,-513.04,-495.34000000000003,17.699999999999932,bad
57,0.01,-52068.0,-51594.0,474.0,-520.6800000000001,-515.94,4.740000000000009,bad
58,0.01,-50163.0,-48210.0,1953.0,-501.63,-482.1,19.529999999999973,bad
59,0.01,-54169.0,-53180.0,989.0,-541.69,-531.8,9.8900000000001,bad
60,0.01,-50114.0,-49324.0,790.0,-501.14,-493.24,7.899999999999977,bad
61,0.01,-49583.0,-45254.0,4329.0,-495.83,-452.54,43.289999999999964,bad
62,0.01,-53396.0,-48001.0,5395.0,-533.96,-480.01,53.950000000000045,bad
63,0.01,-55994.0,-51859.0,4135.0,-559.94,-518.59,41.35000000000002,bad
64,0.01,-53134.0,-48551.0,4583.0,-531.34,-485.51,45.83000000000004,bad
65,0.01,-48711.0,-49811.0,-1100.0,-487.11,-498.11,-11.0,good
66,0.01,-50580.0,-49909.0,671.0,-505.8,-499.09000000000003,6.7099999999999795,bad
67,0.01,-53521.0,-44036.0,9485.0,-535.21,-440.36,94.85000000000002,bad
68,0.01,-55112.0,-53028.0,2084.0,-551.12,-530.28,20.840000000000032,bad
69,0.01,-52623.0,-51441.0,1182.0,-526.23,-514.41,11.82000000000005,bad
70,0.01,-48788.0,-45746.0,3042.0,-487.88,-457.46000000000004,30.41999999999996,bad
71,0.01,-52021.0,-51613.0,408.0,-520.21,-516.13,4.080000000000041,bad
72,0.01,-53457.0,-49591.0,3866.0,-534.57,-495.91,38.660000000000025,bad
73,0.01,-51866.0,-49474.0,2392.0,-518.66,-494.74,23.91999999999996,bad
74,0.01,-47783.0,-45375.0,2408.0,-477.83,-453.75,24.079999999999984,bad
75,0.01,-55970.0,-55642.0,328.0,-559.7,-556.42,3.2800000000000864,bad
76,0.01,-47422.0,-45463.0,1959.0,-474.22,-454.63,19.590000000000032,bad
77,0.01,-49312.0,-48790.0,522.0,-493.12,-487.90000000000003,5.21999999999997,bad
78,0.01,-49359.0,-44390.0,4969.0,-493.59000000000003,-443.90000000000003,49.69,bad
79,0.01,-52945.0,-52217.0,728.0,-529.45,-522.17,7.280000000000086,bad
80,0.01,-45874.0,-38838.0,7036.0,-458.74,-388.38,70.36000000000001,bad
81,0.01,-50154.0,-45851.0,4303.0,-501.54,-458.51,43.03000000000003,bad
82,0.01,-47480.0,-44667.0,2813.0,-474.8,-446.67,28.129999999999995,bad
83,0.01,-54388.0,-52640.0,1748.0,-543.88,-526.4,17.480000000000018,bad
84,0.01,-48881.0,-45681.0,3200.0,-488.81,-456.81,32.0,bad
85,0.01,-45296.0,-42759.0,2537.0,-452.96000000000004,-427.59000000000003,25.370000000000005,bad
86,0.01,-48838.0,-49444.0,-606.0,-488.38,-494.44,-6.060000000000002,good
87,0.01,-48571.0,-47583.0,988.0,-485.71000000000004,-475.83,9.880000000000052,bad
88,0.01,-51687.0,-51262.0,425.0,-516.87,-512.62,4.25,bad
89,0.01,-49443.0,-48116.0,1327.0,-494.43,-481.16,13.269999999999982,bad
90,0.01,-51395.0,-48673.0,2722.0,-513.95,-486.73,27.220000000000027,bad
91,0.01,-49376.0,-46593.0,2783.0,-493.76,-465.93,27.829999999999984,bad
92,0.01,-50071.0,-48617.0,1454.0,-500.71000000000004,-486.17,14.54000000000002,bad
93,0.01,-49022.0,-49125.0,-103.0,-490.22,-491.25,-1.0299999999999727,good
94,0.01,-46489.0,-49596.0,-3107.0,-464.89,-495.96000000000004,-31.07000000000005,good
95,0.01,-51241.0,-49742.0,1499.0,-512.41,-497.42,14.989999999999952,bad
96,0.01,-50702.0,-45922.0,4780.0,-507.02000000000004,-459.22,47.80000000000001,bad
97,0.01,-54647.0,-53082.0,1565.0,-546.47,-530.82,15.649999999999977,bad
98,0.01,-48539.0,-49630.0,-1091.0,-485.39,-496.3,-10.910000000000025,good
99,0.01,-48678.0,-52482.0,-3804.0,-486.78000000000003,-524.82,-38.04000000000002,good
100,0.01,-51886.0,-50558.0,1328.0,-518.86,-505.58,13.28000000000003,bad
